Gene Symbol	Growth factor	probe set
IGF-1	Insulin-like growth factor-1	209541_at
HGF	Hepatocyte growth factor	210997_at
MIP1alpha/CCL3	Macrophage inflammatory protein1 alpha	205114_s_at
GDF15	Growth/differentiation factor 15	221577_x_at
PTN	pleiotrophin	209466_x_at
BDNF	Brain derived neurotrophic factor	206382_s_at
IL-6	Interleukin 6	205207_at
CNTF	Ciliary neurotrophic factor	NA
OSM	oncostatin M	230170_at
LIF	Leukemia inhibitory factor	205266_at
IL-11	Interleukin 11	NA
CLCF1	cardiotrophin-like cytokine factor1	219500_at
IL-1beta	interleukin 1alpha	39402_at
IL-10	interleukin 10	207433_at
IL-15	interleukin 15	205992_s_at
IL-21	interleukin 21	NA
TNF-alpha	tumor necrosis factor á	207113_s_at
BAFF/TNFSF13B	B cell activating factor	223501_at
APRIL/TNFSF13	A proliferation inducing ligand	210314_x_at
AREG	amphiregulin	205239_at
HB-EGF	heparin-binding EGF-like growth factor	203821_at
NRG1	neuregulin 1	208241_at
NRG2	neuregulin 2	206879_s_at
NRG3	neuregulin 3	229233_at
NRG4	neuregulin 4	242426_at
FGF2/bFGF	fibroblast growth factor 2/basis FGF	204422_s_at
Wnt5A	Wnt5A	205990_s_at
Wnt10B	Wnt10B	NA
WNS16	WNS16	224022_x_at
JAG1	Jagged 1	209099_x_at
JAG2	Jagged 2	32137_at
VEGFA	Vascular endothelial growth factor A	212171_x_at
