Probe ID	Entrez ID	Gene Symbol	FC	P Value	FDR
07oEYidddKpekdF9z0	23310	NCAPD3	5.2417	4.85E-11	6.97E-08
Ebfrl.7uOZfnjp_E7k	1958	EGR1	4.5411	7.16E-08	5.98E-06
i7o1RUDUHTXr_eRHr0	3017	HIST1H2BD	4.1421	3.60E-08	3.85E-06
9pU_eGPL3AN89dd91U	6309	SC5DL	3.4211	1.12E-07	8.52E-06
EbcWekKI5WUAJ3gofk	22949	PTGR1	3.3091	1.42E-09	4.53E-07
KzhYQpF167cHVUCEOI	55450	CAMK2N1	3.2367	2.39E-05	0.00040009
fG6ilCJP2dH5410qEU	5004	ORM1	3.0281	9.06E-11	1.02E-07
l2iabV9QVlrdP33b.Q	3397	ID1	2.8096	6.36E-09	1.26E-06
rrTpXocXkgUmTT0Sow	202374	STK32A	2.7175	2.52E-10	1.59E-07
Wzfs7e7lXXlWAueHOo	150	ADRA2A	2.6586	3.22E-09	7.95E-07
K6gPi1Lo7w6Lq_VNXg	138639	PTPDC1	2.6522	2.33E-10	1.56E-07
ilrh6EzRdx8DW178mE	8644	AKR1C3	2.6251	2.75E-09	7.14E-07
rkdrpLRTAEETXkXoHo	3909	LAMA3	2.5984	7.05E-10	2.86E-07
WKlwUl_os_HrV8XfOk	1831	TSC22D3	2.5891	2.45E-09	6.57E-07
Qkun0egA67pyT9X_LQ	84525	HOPX	2.566	1.90E-08	2.35E-06
llUh_2Ro5IAfDoop4o	388815	C21orf34	2.544	4.71E-07	2.37E-05
HVQfZXlR_H0UDV9eiE	3399	ID3	2.5399	5.22E-05	0.00071599
6kUIH1PcNyJ4Uv4nj0	6307	SC4MOL	2.4956	4.33E-07	2.20E-05
9kvc5fonXh5Kh3tVEc	224	ALDH3A2	2.4879	4.03E-09	9.11E-07
NS4eJ7XYylOQqfXiL0	55323	LARP6	2.4843	1.41E-08	1.96E-06
N7q9CJXeH7gg.nld8I	9236	CCPG1	2.4351	8.82E-06	0.0002013
WoK7je6h7epe8dNec0	116496	FAM129A	2.4318	1.35E-06	5.18E-05
iyq_JRTeFkJ5tu2Wvc	6520	SLC3A2	2.3983	1.82E-06	6.45E-05
rXn6YfSwnEnCVNpaAI	1646	AKR1C2	2.3219	6.75E-07	3.10E-05
upHrr.53YSzUQyeGno	1728	NQO1	2.3003	3.13E-07	1.79E-05
uR8UXT_f96KU5DMpqE	8349	HIST2H2BE	2.2675	4.80E-09	9.88E-07
QkHp0s9EqAnuKgmA7o	112849	C14orf149	2.2671	4.67E-08	4.55E-06
QUUtJIOgnyKB_XuJno	3638	INSIG1	2.2521	2.05E-05	0.00035779
6XpRYc4gc5Xbs9exeQ	347	APOD	2.2485	0.00010072	0.0011812
KnvXyoRQhfjv69cXoY	5005	ORM2	2.2347	5.64E-09	1.14E-06
Niun_9bl1eVU20cUrc	326625	MMAB	2.1978	9.21E-09	1.52E-06
Q4kSK70wDqD4tUdrCI	3422	IDI1	2.1969	2.86E-05	0.00046123
HciCy4UgSpIsrVdTpU	7462	LAT2	2.1826	5.02E-10	2.27E-07
ufXxQuB1OlUCRSODvs	10461	MERTK	2.1784	3.74E-07	1.99E-05
xAgiQRj3qNUoqgRTgg	445347	TARP	2.1501	3.57E-07	1.93E-05
TulH1wooEFW3jdIPpE	8614	STC2	2.1212	1.55E-05	0.00029319
HUS.NeBZAECCT_1nVI	4199	ME1	2.1153	3.66E-05	0.00055156
TDsngIIyogHmjVAe9U	3977	LIFR	2.1091	4.94E-06	0.00013134
ZJnv5JNKC4JXEV6b6c	10588	MTHFS	2.1027	0.00017518	0.0017781
cVLhH0iJ6y8sk74lKU	2353	FOS	2.0937	0.00029537	0.002651
61fbvFdezA1Bd6tb3Y	3223	HOXC6	2.0937	1.84E-07	1.23E-05
orl7nMJJI.7qKAR_Io	4093	SMAD9	2.0892	3.39E-08	3.73E-06
QSo_n200d4ei1ebPN0	23657	SLC7A11	2.0873	6.52E-08	5.65E-06
9Vyi_DX3V5cXkk3X9U	83759	RBM4B	2.0814	2.66E-08	3.11E-06
0ni05u_DVH0uRe6XdI	4131	MAP1B	2.078	2.10E-06	7.07E-05
