Gene ID	7H9_R1	7H9_R2	Heat shock_R1	Heat shock_R2	Oxi.stress_R1	Oxi.stress_R2	acidic pH_R1	acidic pH_R2	HPC treated_R1	HPC treated_R2	Cow_R1	Cow_R2
MAP0001	1383.4	893.6	769.4	2308.2	1270.3	1629.5	851.1	1683.4	959.4	2071.8	1153.7	683.3
MAP0002	1233.1	1061.6	952.6	923.5	1371.0	974.4	5.0	547.3	3416.9	728.7	114.4	466.3
MAP0003	715.5	1138.1	744.7	634.0	282.1	524.4	5.0	252.9	46.6	117.4	1884.1	2811.6
MAP0004	4022.7	5861.8	3671.0	4087.2	3583.6	3793.4	964.0	2510.8	1311.2	1088.9	719.5	171.4
MAP0005	5.0	5.0	105.6	742.4	19.0	5.0	839.7	1669.6	483.1	1056.5	5.0	5.0
MAP0006	2482.1	3052.2	2870.6	2711.3	2581.1	2041.1	336.8	1626.1	244.9	653.0	5.0	5.0
MAP0007	853.3	1527.1	1049.8	1367.6	1285.4	1659.1	1462.6	2303.5	1532.0	1201.3	352.5	161.8
MAP0008c	1583.7	441.8	1165.2	1003.8	1176.8	1215.4	573.7	1275.6	363.7	384.7	5.0	5.0
MAP0009	45.8	5.0	5.0	105.3	5.0	70.9	3822.2	2399.0	7389.4	4748.8	5.0	5.0
MAP0010c	897.5	1368.7	1161.8	841.1	977.1	916.2	1495.3	1197.0	3663.6	4005.6	130.9	15.1
MAP0011	4965.1	4485.6	4675.6	3465.3	3342.1	4411.8	2333.1	3441.2	892.5	2074.6	2854.2	3320.9
MAP0012c	5.0	505.7	100.6	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1215.5	7290.1
MAP0013c	798.9	813.2	497.3	1171.1	936.8	798.8	207.9	1068.6	161.3	53.8	5.0	5.0
MAP0014	146.6	5.0	266.6	179.3	5.0	198.6	5.0	5.0	5.0	5.0	5.0	5.0
MAP0015	1662.7	3035.0	1929.9	2027.7	2134.9	1544.2	1956.3	1980.5	3406.9	1869.5	954.4	1113.4
MAP0016c	263.3	115.9	94.6	674.0	306.4	263.3	655.0	1262.7	1232.4	680.1	907.5	5.0
MAP0017c	1245.2	876.3	901.7	1063.9	367.2	1146.3	518.8	1302.7	423.3	225.0	2182.6	1155.5
MAP0018c	3104.6	3781.6	3576.6	2911.1	5416.0	2878.8	562.5	2274.1	1255.5	507.8	4662.2	4018.1
MAP0019c	1158.6	552.7	995.5	1033.2	794.0	602.3	2647.9	3798.1	2464.3	2666.0	5.0	120.8
