GeneName	P	Fold change
hsa-mir-196a	0.00384	105.6
hsa-mir-15b	0.00734	3.3
hsa-mir-105	0.0177	0.029
hsa-mir-367	0.021	0.036
hsa-mir-184	0.0361	0.101
hsa-mir-196b	0.0371	11.8
hsa-mir-363	0.0371	27
hsa-mir-504	0.0374	0.072
hsa-mir-302b	0.0415	0.061
hsa-mir-128b	0.0421	0.15
hsa-mir-601	0.0421	0.289
hsa-mir-21	0.0421	3.6
hsa-mir-517c	0.0462	0.081
hsa-mir-302d	0.0487	0.136
hsa-mir-383	0.0487	0.156
hsa-mir-135b	0.0487	5
