Gene	Gene bank accession number	CRPC versus met
CK5	NM_000424	3.9
c-Kit	NM_000222	3.3
Nestin	NM_006617	1.5
CD44	NM_000610	2.2
c-Met	NM_000245	2
ALDH1A1	NM_000689	1.7
alpha2-Integrin	NM_002203	1.6
CD133c	NM_006017	1.6
ABCG2	NM_004827	1.4
CXCR4	NM_001008540	1.3
POU5F1 variant 1	NM_002701.4	1.1
POU5F1 variant 2	NM_203289.4	1.1
alpha6-Integrin	NM_000210	0.8
SOX2	NM_003106	0.8
Nanog	NM_024865	0.5
