Curated Gene Symbol	Symbol	Gene	Fold Change
GCG	GCG	Glucagon	41.1
NQO1	NQO1	NAD(P)H dehydrogenase quinone 1	4.7
RSU1	RSU1	Ras suppressor protein 1; suppresses Ras	5.7
PLP2	PLP2	Proteolipid protein 2	3.2
PLBD1	FLJ22662	Hypothetical protein	3.9
APLP1	APLP1	Amyloid beta(A4) precursor-like protein 1	2.6
CBX6	CBX6	Chromobox homolog 6	2.2
NIT2	NIT2	Nit protein 2	2.1
