Down-regulated genes	Gene symbol
Cellproliferation	INSIG1
Cellcycle	SKP2
Cellgrowthand maintenance	ETS2
Immune/defense	OASL
Signaling	CDC42SE1
Signaling	CSNK1G3
Transport	CYP17A1
Transport	CDO1
Transport	CNGA1
Transport	NUDT9
Transport	SLC16A5
Transport	SARA2
Development	ID2
Proteolysis/peptidolysis	RNF130
Transcription	MAFB
Transcription	ELL2
Protein processing	PTP4A1
Protein processing	PGGT1B
Metabolism/biosynthesis	HEXB
Metabolism/biosynthesis	SLC27A2
Metabolism/biosynthesis	AGPAT3
Metabolism/biosynthesis	GCH1
Metabolism/biosynthesis	SPACA3
Metabolism/biosynthesis	AS3MT
Nucleicacidbinding	TIGD2
ATP/ion/protein binding	KIAA0676
Miscellaneous	LMBRD2
Miscellaneous	MARVELD
