Study	Stem cell type	Gene list type	Entrez Gene	Gene name
Kiel	HSC(FetalLiver)	SGL	17763	Mtcp1
Kiel	HSC(FetalLiver)	SGL	17765	Mtf2
Kiel	HSC(FetalLiver)	SGL	17769	Mthfr
Kiel	HSC(FetalLiver)	SGL	17775	Laptm4a
Kiel	HSC(FetalLiver)	SGL	17857	Mx1
Kiel	HSC(FetalLiver)	SGL	17858	Mx2
Kiel	HSC(FetalLiver)	SGL	17863	Myb
Kiel	HSC(FetalLiver)	SGL	17966	Nbr1
Kiel	HSC(FetalLiver)	SGL	17984	Ndn
Kiel	HSC(FetalLiver)	SGL	18109	Mycn
Kiel	HSC(FetalLiver)	SGL	18201	Nsmaf
Kiel	HSC(FetalLiver)	SGL	18519	Pcaf
Kiel	HSC(FetalLiver)	SGL	18536	Pcm1
Kiel	HSC(FetalLiver)	SGL	18583	Pde7a
Kiel	HSC(FetalLiver)	SGL	18616	Peg3
Kiel	HSC(FetalLiver)	SGL	18634	Pex7
Kiel	HSC(FetalLiver)	SGL	18647	Pftk1
Kiel	HSC(FetalLiver)	SGL	18701	Pigf
Kiel	HSC(FetalLiver)	SGL	18761	Prkcq
Kiel	HSC(FetalLiver)	SGL	18949	Pnn
Kiel	HSC(FetalLiver)	SGL	19038	Ppic
Kiel	HSC(FetalLiver)	SGL	19084	Prkar1a
Kiel	HSC(FetalLiver)	SGL	19124	Procr
Kiel	HSC(FetalLiver)	SGL	19186	Psme1
Kiel	HSC(FetalLiver)	SGL	192195	Ash1l
Kiel	HSC(FetalLiver)	SGL	192287	Slc25a36
Kiel	HSC(FetalLiver)	SGL	19267	Ptpre
Kiel	HSC(FetalLiver)	SGL	19286	Pts
Kiel	HSC(FetalLiver)	SGL	19330	Rab18
Kiel	HSC(FetalLiver)	SGL	193385	6330500D04Rik
Kiel	HSC(FetalLiver)	SGL	19347	Rab6ip1
Kiel	HSC(FetalLiver)	SGL	19416	Rasd1
Kiel	HSC(FetalLiver)	SGL	19647	Rbbp6
Kiel	HSC(FetalLiver)	SGL	19652	Rbm3
Kiel	HSC(FetalLiver)	SGL	19655	Rbmx
Kiel	HSC(FetalLiver)	SGL	19659	Rbp1
Kiel	HSC(FetalLiver)	SGL	19672	Rcn1
Kiel	HSC(FetalLiver)	SGL	19714	Rev3l
Kiel	HSC(FetalLiver)	SGL	19729	Rag1ap1
Kiel	HSC(FetalLiver)	SGL	19821	Rnf2
Kiel	HSC(FetalLiver)	SGL	19893	Rpgr
Kiel	HSC(FetalLiver)	SGL	19988	Rpl6
Kiel	HSC(FetalLiver)	SGL	20091	Rps3a
Kiel	HSC(FetalLiver)	SGL	20102	Rps4x
Kiel	HSC(FetalLiver)	SGL	20115	Rps7
Kiel	HSC(FetalLiver)	SGL	20317	Serpinf1
Kiel	HSC(FetalLiver)	SGL	20392	Sgce
Kiel	HSC(FetalLiver)	SGL	20496	Slc12a2
Kiel	HSC(FetalLiver)	SGL	20715	Serpina3g
Kiel	HSC(FetalLiver)	SGL	20729	Spin1
Kiel	HSC(FetalLiver)	SGL	20849	Stat4
Kiel	HSC(FetalLiver)	SGL	20912	Stxbp3a
Kiel	HSC(FetalLiver)	SGL	210126	Lpp
Kiel	HSC(FetalLiver)	SGL	21354	Tap1
Kiel	HSC(FetalLiver)	SGL	21376	Tbrg1
Kiel	HSC(FetalLiver)	SGL	21406	Tcf12
Kiel	HSC(FetalLiver)	SGL	21413	Tcf4
Kiel	HSC(FetalLiver)	SGL	216238	Eea1
Kiel	HSC(FetalLiver)	SGL	216805	Flcn
Kiel	HSC(FetalLiver)	SGL	21788	Tfpi
Kiel	HSC(FetalLiver)	SGL	21807	Tsc22d1
Kiel	HSC(FetalLiver)	SGL	21822	Tgtp
Kiel	HSC(FetalLiver)	SGL	21838	Thy1
Kiel	HSC(FetalLiver)	SGL	21841	Tia1
Kiel	HSC(FetalLiver)	SGL	21846	Tie1
Kiel	HSC(FetalLiver)	SGL	21847	Klf10
Kiel	HSC(FetalLiver)	SGL	21940	Cd27
Kiel	HSC(FetalLiver)	SGL	22038	Plscr1
Kiel	HSC(FetalLiver)	SGL	22129	Ttc3
Kiel	HSC(FetalLiver)	SGL	22135	Tgoln2
Kiel	HSC(FetalLiver)	SGL	22327	Vbp1
Kiel	HSC(FetalLiver)	SGL	22343	Lin7c
Kiel	HSC(FetalLiver)	SGL	22371	Vwf
Kiel	HSC(FetalLiver)	SGL	22682	Zfand5
Kiel	HSC(FetalLiver)	SGL	22751	Zfp90
Kiel	HSC(FetalLiver)	SGL	22759	Zfp97
Kiel	HSC(FetalLiver)	SGL	232341	Wnk1
Kiel	HSC(FetalLiver)	SGL	232560	Caprin2
Kiel	HSC(FetalLiver)	SGL	234664	Nae1
Kiel	HSC(FetalLiver)	SGL	23881	G3bp2
Kiel	HSC(FetalLiver)	SGL	24060	Slc35a1
Kiel	HSC(FetalLiver)	SGL	242291	Impad1
Kiel	HSC(FetalLiver)	SGL	243277	Gpr133
Kiel	HSC(FetalLiver)	SGL	244962	Snx14
Kiel	HSC(FetalLiver)	SGL	26450	Rbbp9
Kiel	HSC(FetalLiver)	SGL	269233	9630050M13Rik
Kiel	HSC(FetalLiver)	SGL	26936	Mprip
Kiel	HSC(FetalLiver)	SGL	27055	Fkbp9
Kiel	HSC(FetalLiver)	SGL	27081	Zfp275
Kiel	HSC(FetalLiver)	SGL	27103	Eif2ak4
Kiel	HSC(FetalLiver)	SGL	27225	Ddx24
Kiel	HSC(FetalLiver)	SGL	27359	Sytl4
Kiel	HSC(FetalLiver)	SGL	27362	Dnajb9
Kiel	HSC(FetalLiver)	SGL	27369	Dguok
Kiel	HSC(FetalLiver)	SGL	27428	Shroom3
Kiel	HSC(FetalLiver)	SGL	29864	Rnf11
Kiel	HSC(FetalLiver)	SGL	319765	Igf2bp2
Kiel	HSC(FetalLiver)	SGL	319934	Sbf2
Kiel	HSC(FetalLiver)	SGL	433804	OTTMUSG00000010673
Kiel	HSC(FetalLiver)	SGL	50498	Ebi3
Kiel	HSC(FetalLiver)	SGL	50850	Spast
Kiel	HSC(FetalLiver)	SGL	50875	Tmod3
Kiel	HSC(FetalLiver)	SGL	50926	Hnrpdl
Kiel	HSC(FetalLiver)	SGL	52357	Wwc2
Kiel	HSC(FetalLiver)	SGL	52468	Ctdsp2
Kiel	HSC(FetalLiver)	SGL	53312	Nub1
Kiel	HSC(FetalLiver)	SGL	53328	Pgrmc1
Kiel	HSC(FetalLiver)	SGL	53379	Hnrnpa2b1
Kiel	HSC(FetalLiver)	SGL	53599	Cd164
Kiel	HSC(FetalLiver)	SGL	53618	Fut8
Kiel	HSC(FetalLiver)	SGL	54123	Irf7
Kiel	HSC(FetalLiver)	SGL	54132	Pdlim1
Kiel	HSC(FetalLiver)	SGL	54367	Zfp326
Kiel	HSC(FetalLiver)	SGL	54396	Iigp2
Kiel	HSC(FetalLiver)	SGL	546071	Mast3
Kiel	HSC(FetalLiver)	SGL	55932	Gbp3
Kiel	HSC(FetalLiver)	SGL	55936	Ctps2
Kiel	HSC(FetalLiver)	SGL	56382	Rab9
Kiel	HSC(FetalLiver)	SGL	56399	Akap8
Kiel	HSC(FetalLiver)	SGL	56417	Adar
Kiel	HSC(FetalLiver)	SGL	56445	Dnaja2
Kiel	HSC(FetalLiver)	SGL	56496	Tspan6
Kiel	HSC(FetalLiver)	SGL	56505	Ruvbl1
Kiel	HSC(FetalLiver)	SGL	56550	Ube2d2
Kiel	HSC(FetalLiver)	SGL	56692	Map2k1ip1
Kiel	HSC(FetalLiver)	SGL	58185	Rsad2
Kiel	HSC(FetalLiver)	SGL	59013	Hnrnph1
Kiel	HSC(FetalLiver)	SGL	59027	Nampt
Kiel	HSC(FetalLiver)	SGL	59308	Emcn
