Probe Set ID	Gene Symbol
36830_at	MIPEP
201025_at	EIF5B
201142_at	EIF2S1
201143_s_at	EIF2S1
201178_at	FBXO7
201829_at	NET1
201830_s_at	NET1
202706_s_at	UMPS
203015_s_at	SSX2IP
203016_s_at	SSX2IP
203017_s_at	SSX2IP
203115_at	FECH
203212_s_at	MTMR2
203544_s_at	STAM
203680_at	PRKAR2B
204026_s_at	ZWINT
204033_at	TRIP13
204162_at	NDC80
204835_at	POLA1
204887_s_at	PLK4
205395_s_at	MRE11A
205667_at	WRN
205767_at	EREG
206145_at	RHAG
206306_at	RYR3
206698_at	XK
206937_at	SPTA1
207067_s_at	HDC
207332_s_at	TFRC
209757_s_at	MYCN
210543_s_at	PRKDC
211952_at	IPO5
213008_at	FANCI
217815_at	SUPT16H
218219_s_at	LANCL2
218364_at	LRRFIP2
218676_s_at	PCTP
218883_s_at	MLF1IP
218890_x_at	MRPL35
219094_at	ARMC8
219470_x_at	CCNJ
221744_at	WDR68
223627_at	MEX3B
227447_at	SKIV2L2
231925_at
