# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|204614_at|204614_at	unigene|Hs.514913|Hs.514913	hgnc_symbol|SERPINB2|SERPINB2
affy_hg_u133_plus_2|205207_at|205207_at	unigene|Hs.512234|Hs.512234	hgnc_symbol|IL6|IL6
affy_hg_u133_plus_2|1554997_a_at|1554997_a_at	unigene|Hs.196384|Hs.196384	hgnc_symbol|PTGS2|PTGS2
affy_hg_u133_plus_2|240287_at|240287_at	unigene|Hs.160789|Hs.160789	hgnc_symbol|LOC341720|LOC341720
affy_hg_u133_plus_2|206157_at|206157_at	unigene|Hs.546280|Hs.546280	hgnc_symbol|PTX3|PTX3
affy_hg_u133_plus_2|235737_at|235737_at	unigene|Hs.389874|Hs.389874	hgnc_symbol|TSLP|TSLP
affy_hg_u133_plus_2|205476_at|205476_at	unigene|Hs.75498|Hs.75498	hgnc_symbol|CCL20|CCL20
affy_hg_u133_plus_2|220054_at|220054_at	unigene|Hs.98309|Hs.98309	hgnc_symbol|IL23A|IL23A
affy_hg_u133_plus_2|209774_x_at|209774_x_at	unigene|Hs.75765|Hs.75765	hgnc_symbol|CXCL2|CXCL2
affy_hg_u133_plus_2|227099_s_at|227099_s_at	unigene|Hs.530443|Hs.530443	hgnc_symbol|LOC387763|LOC387763
affy_hg_u133_plus_2|207850_at|207850_at	unigene|Hs.89690|Hs.89690	hgnc_symbol|CXCL3|CXCL3
affy_hg_u133_plus_2|244725_at|244725_at	unigene|Hs.371976|Hs.371976	hgnc_symbol|DMRTA1|DMRTA1
affy_hg_u133_plus_2|210118_s_at|210118_s_at	unigene|Hs.1722|Hs.1722	hgnc_symbol|IL1A|IL1A
affy_hg_u133_plus_2|1552496_a_at|1552496_a_at	unigene|Hs.99141|Hs.99141	hgnc_symbol|COBL|COBL
affy_hg_u133_plus_2|207113_s_at|207113_s_at	unigene|Hs.241570|Hs.241570	hgnc_symbol|TNF|TNF
affy_hg_u133_plus_2|201668_x_at|201668_x_at	unigene|Hs.519909|Hs.519909	hgnc_symbol|MARCKS|MARCKS
affy_hg_u133_plus_2|229316_at|229316_at	unigene|Hs.369785|Hs.369785	hgnc_symbol|MGC2749|MGC2749
affy_hg_u133_plus_2|205818_at|205818_at	unigene|Hs.532316|Hs.532316	hgnc_symbol|DBC1|DBC1
affy_hg_u133_plus_2|207901_at|207901_at	unigene|Hs.674|Hs.674	hgnc_symbol|IL12B|IL12B
affy_hg_u133_plus_2|209437_s_at|209437_s_at	unigene|Hs.445818|Hs.445818	hgnc_symbol|SPON1|SPON1
affy_hg_u133_plus_2|205067_at|205067_at	unigene|Hs.126256|Hs.126256	hgnc_symbol|IL1B|IL1B
affy_hg_u133_plus_2|242271_at|242271_at	unigene|Hs.164073|Hs.164073	hgnc_symbol|SLC26A9|SLC26A9
affy_hg_u133_plus_2|204470_at|204470_at	unigene|Hs.789|Hs.789	hgnc_symbol|CXCL1|CXCL1
affy_hg_u133_plus_2|1556066_at|1556066_at	unigene|Hs.103915|Hs.103915	hgnc_symbol|JMJD3|JMJD3
affy_hg_u133_plus_2|210390_s_at|210390_s_at	unigene|Hs.272493|Hs.272493	hgnc_symbol|CCL14 /// CCL15|CCL14 /// CCL15
