Probeset	Gene Name
203189 s at	NDUFS8
203190 at	NDUFS8
214241 at	NDUFB8
210206 s at	DDX11
211752 s at	NDUFS7
213378 s at	DDX11
226616 s at	NDUFV3
241755 at	UQCRC2
243498 at	ATP5J
203371 s at	NDUFB3
218200 s at	NDUFB2
218201 at	NDUFB2
203606 at	NDUFS6
218190 s at	UCRC
226209 at	NDUFV3
1554847 at	ATP6V1B1
200096 s at	ATP6V0E
214244 s at	ATP6V0E
214923 at	ATP6V1D
228816 at	ATP6AP1L
230598 at	SMEK2
207335 x at	ATP5I
204125 at	NDUFAF1
222270 at	SMEK2
200078 s at	ATP6V0B
208745 at	ATP5L
208746 x at	ATP5L
210453 x at	ATP5L
203039 s at	NDUFS1
203613 s at	NDUFB6
207573 x at	ATP5L
208972 s at	ATP5G1
