# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|212281_s_at|212281_s_at	entrezgene|27346|27346	hgnc_symbol|TMEM97|TMEM97
affy_hg_u133_plus_2|223743_s_at|223743_s_at	entrezgene|51073|51073	hgnc_symbol|MRPL4|MRPL4
affy_hg_u133_plus_2|241224_x_at|241224_x_at	entrezgene|84677|84677	hgnc_symbol|DSCR8|DSCR8
affy_hg_u133_plus_2|225213_at|225213_at	entrezgene|160760|160760	hgnc_symbol|PPTC7|PPTC7
affy_hg_u133_plus_2|223625_at|223625_at	entrezgene|84668|84668	hgnc_symbol|DRCTNNB1A|DRCTNNB1A
affy_hg_u133_plus_2|227212_s_at|227212_s_at	entrezgene|26147|26147	hgnc_symbol|PHF19|PHF19
affy_hg_u133_plus_2|214612_x_at|214612_x_at	entrezgene|4105|4105	hgnc_symbol|MAGEA6|MAGEA6
affy_hg_u133_plus_2|212680_x_at|212680_x_at	entrezgene|26472|26472	hgnc_symbol|PPP1R14B|PPP1R14B
affy_hg_u133_plus_2|224579_at|224579_at
affy_hg_u133_plus_2|225400_at|225400_at	entrezgene|116461|116461	hgnc_symbol|C1orf19|C1orf19
affy_hg_u133_plus_2|218826_at|218826_at	entrezgene|54733|54733	hgnc_symbol|SLC35F2|SLC35F2
affy_hg_u133_plus_2|206640_x_at|206640_x_at	entrezgene|2574 /// 2576 /// 2577 /// 2578 /// 2579 /// 26748 /// 645043 /// 645051 /// 645061 /// 645073 /// 645083 /// 645093|2574 /// 2576 /// 2577 /// 2578 /// 2579 /// 26748 /// 645043 /// 645051 /// 645061 /// 645073 /// 645083 /// 645093	hgnc_symbol|GAGE2 /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7 /// GAGE7B /// LOC645043 /// LOC645051 /// LOC645061 /// LOC645073 /// LOC645083 /// LOC645093|GAGE2 /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7 /// GAGE7B /// LOC645043 /// LOC645051 /// LOC645061 /// LOC645073 /// LOC645083 /// LOC645093
affy_hg_u133_plus_2|229826_at|229826_at	entrezgene|440957|440957	hgnc_symbol|LOC440957|LOC440957
affy_hg_u133_plus_2|212750_at|212750_at	entrezgene|26051|26051	hgnc_symbol|PPP1R16B|PPP1R16B
affy_hg_u133_plus_2|220448_at|220448_at	entrezgene|56660|56660	hgnc_symbol|KCNK12|KCNK12
affy_hg_u133_plus_2|208416_s_at|208416_s_at	entrezgene|6710|6710	hgnc_symbol|SPTB|SPTB
affy_hg_u133_plus_2|205592_at|205592_at	entrezgene|6521|6521	hgnc_symbol|SLC4A1|SLC4A1
affy_hg_u133_plus_2|223670_s_at|223670_s_at	entrezgene|55363|55363	hgnc_symbol|HEMGN|HEMGN
affy_hg_u133_plus_2|210746_s_at|210746_s_at	entrezgene|2038|2038	hgnc_symbol|EPB42|EPB42
affy_hg_u133_plus_2|201131_s_at|201131_s_at	entrezgene|999|999	hgnc_symbol|CDH1|CDH1
affy_hg_u133_plus_2|227654_at|227654_at	entrezgene|200230|200230	hgnc_symbol|LOC200230|LOC200230
affy_hg_u133_plus_2|211820_x_at|211820_x_at	entrezgene|2993|2993	hgnc_symbol|GYPA|GYPA
affy_hg_u133_plus_2|205838_at|205838_at	entrezgene|2993|2993	hgnc_symbol|GYPA|GYPA
affy_hg_u133_plus_2|208335_s_at|208335_s_at	entrezgene|2532|2532	hgnc_symbol|DARC|DARC
affy_hg_u133_plus_2|209930_s_at|209930_s_at	entrezgene|4778|4778	hgnc_symbol|NFE2|NFE2
affy_hg_u133_plus_2|209301_at|209301_at	entrezgene|760|760	hgnc_symbol|CA2|CA2
affy_hg_u133_plus_2|215811_at|215811_at	entrezgene|6622|6622	hgnc_symbol|SNCA|SNCA
affy_hg_u133_plus_2|205268_s_at|205268_s_at	entrezgene|119|119	hgnc_symbol|ADD2|ADD2
affy_hg_u133_plus_2|232232_s_at|232232_s_at	entrezgene|85413|85413	hgnc_symbol|SLC22A16|SLC22A16
affy_hg_u133_plus_2|223669_at|223669_at	entrezgene|55363|55363	hgnc_symbol|HEMGN|HEMGN
affy_hg_u133_plus_2|202219_at|202219_at	entrezgene|6535|6535	hgnc_symbol|SLC6A8|SLC6A8
affy_hg_u133_plus_2|205950_s_at|205950_s_at	entrezgene|759|759	hgnc_symbol|CA1|CA1
affy_hg_u133_plus_2|205837_s_at|205837_s_at	entrezgene|2993|2993	hgnc_symbol|GYPA|GYPA
affy_hg_u133_plus_2|211821_x_at|211821_x_at	entrezgene|2993|2993	hgnc_symbol|GYPA|GYPA
affy_hg_u133_plus_2|210395_x_at|210395_x_at	entrezgene|4635|4635	hgnc_symbol|MYL4|MYL4
affy_hg_u133_plus_2|219672_at|219672_at	entrezgene|51327|51327	hgnc_symbol|ERAF|ERAF
affy_hg_u133_plus_2|206488_s_at|206488_s_at	entrezgene|948|948	hgnc_symbol|CD36|CD36
