Curated Gene Symbol	No.	Name	M	SwissProt
UBE2I	1	Ubc9	12.116 (SE-0.06)	P50550
	2	Na+/K+ ATPase	11.793 (SE-0.06)	P14415
TRAF2	3	TRAF2	11.752 (SE-0.04)	Q12933
	4	Beta-Tubulin	11.680 (SE-0.09)	Q13885
CSF2	5	GM-CSF	11.502 (SE-0.06)	P04141
GNB2L1	6	RACK1	11.458 (SE-0.07)	P25388
XPA	7	XPA	11.421 (SE-0.21)	P23025
	8	p21 (Cip 1/WAF 1)	11.412 (SE-0.07)	P38936
	9	Rho-GDI	11.388 (SE-0.05)	P52565
	10	CAM kinase	11.377 (SE-0.07)	Q9BQH3
TRIM3	11	BERP	11.376 (SE-0.05)	O75382
	12	IB	11.372 (SE-0.05)	O00221
RAP2A	13	Rap2	11.368 (SE-0.09)	P17964
MAX	14	Max	11.356 (SE-0.06)	P25912
	15	Caspase 8	11.345 (SE-0.05)	Q14790
HSPD1	16	Hsp60	11.332 (SE-0.09)	P10809
CDK2	17	Cdk2	11.295 (SE-0.16)	P24941
	18	TF11-1/BAP-135	11.228 (SE-0.05)	O15359
	19	G	11.276 (SE-0.06)	P04901
PPP1R1B	20	DARPP-32	11.270 (SE-0.06)	Q9NNW1
