Symbol	UGCluster	symbol	fc	fc_+/-10%	fg-Corfg-DM2>2bg	NOTES
CYBB	Hs.292356	CYBB	0.9032	TRUE	TRUE	macrophage specific
CARD15	Hs.592072	CARD15	1	FALSE	FALSE	macrophage specific
CD163	Hs.504641	CD163	1	FALSE	FALSE	macrophage specific
CHIT1	Hs.201688	CHIT1	1	FALSE	FALSE	macrophage specific
LILRA2	Hs.534394	LILRA2	1	FALSE	FALSE	macrophage specific
LILRB2		LILRB2	1	FALSE	FALSE	macrophage specific
LILRB3	Hs.241797	LILRB3	1	FALSE	FALSE	macrophage specific
CCL3	Hs.514107	CCL3	1	FALSE	FALSE	macrophage specific
CSF3R	Hs.524517	CSF3R	1	FALSE	FALSE	macrophage specific
HK3	Hs.411695	HK3	1	FALSE	FALSE	macrophage specific
PLA2G7	Hs.584823	PLA2G7	1	FALSE	FALSE	macrophage specific
TLR2	Hs.519033	TLR2	1	FALSE	FALSE	macrophage specific
TYROBP	Hs.515369	TYROBP	1	FALSE	FALSE	macrophage specific
TYROBP	Hs.515369	TYROBP	1	FALSE	FALSE	macrophage specific
ACP5	Hs.1211	ACP5	1	FALSE	FALSE	macrophage specific
AIF1	Hs.76364	AIF1	1	FALSE	FALSE	macrophage specific
AMICA1	Hs.16291	AMICA1	1	FALSE	FALSE	macrophage specific
CD86	Hs.171182	CD86	1	FALSE	FALSE	macrophage specific
NCF2	Hs.518604	NCF2	1	FALSE	FALSE	macrophage specific
NCF2	Hs.587558	NCF2	1	FALSE	FALSE	macrophage specific
PFC		PFC	1	FALSE	FALSE	macrophage specific
PILRA	Hs.444407	PILRA	1	FALSE	FALSE	macrophage specific
RNASE6	Hs.23262	RNASE6	1	FALSE	FALSE	macrophage specific
TREM1	Hs.283022	TREM1	1	FALSE	FALSE	macrophage specific
APOBEC3A	Hs.348983	APOBEC3A	1	FALSE	FALSE	macrophage specific
MNDA	Hs.153837	MNDA	1	FALSE	FALSE	macrophage specific
MSR1	Hs.147635	MSR1	1	FALSE	FALSE	macrophage specific
SELL	Hs.82848	SELL	1	FALSE	FALSE	macrophage specific
SPI1	Hs.502511	SPI1	1	FALSE	FALSE	macrophage specific
FPR1	Hs.753	FPR1	0.9178	FALSE	FALSE	macrophage specific
LST1	Hs.436066	LST1	1.0327	FALSE	FALSE	macrophage specific
TLR8	Hs.272410	TLR8	1.047	FALSE	FALSE	macrophage specific
C5R1		C5R1	0.9604	FALSE	FALSE	macrophage specific
CCR1	Hs.301921	CCR1	1.0295	FALSE	FALSE	macrophage specific
CCR2	In multiple clusters	CCR2	0.9408	FALSE	FALSE	macrophage specific
CSF2RB	Hs.592192	CSF2RB	0.9637	FALSE	FALSE	macrophage specific
FGL2	Hs.520989	FGL2	0.9803	FALSE	FALSE	macrophage specific
P2RY13	Hs.546396	P2RY13	1.0397	FALSE	FALSE	macrophage specific
S100A12	Hs.19413	S100A12	1.0571	FALSE	FALSE	macrophage specific
VNN2	Hs.293130	VNN2	1.034	FALSE	FALSE	macrophage specific
IGSF6	Hs.530902	IGSF6	0.8478	TRUE	FALSE	macrophage specific
PLXNC1	Hs.584845	PLXNC1	0.8521	TRUE	FALSE	macrophage specific
CD68		CD68	1	FALSE	TRUE	macrophage specific
CD14	Hs.163867	CD14	1	FALSE	TRUE	macrophage specific
CD37	Hs.166556	CD37	1	FALSE	TRUE	macrophage specific
HCK	Hs.126521	HCK	1	FALSE	TRUE	macrophage specific
