Curated Gene Symbol	Gene Name	GenBank accession no.	Description	Fold change in expression MCF-7 cell line mean ± SD	Fold change in expression AV-3 cell line mean ± SD	Fold change in expression Mean of the two cell lines
MIF	MIF	NM_002415	Macrophage migration inhibitory factor (glycosylation-inhibiting factor)	5.2 ± .9	2.1 ± 1.8	3.7
IL19	IL-19	NM_013371	Interleukin 19	4.0 ± 1.1	2.4 ± .3	3.2
	IL-13RA1	NM_001560	Interleukin 13 receptor. alpha 1	4.1 ± 1.2	2.1 ± .6	3.1
IL6ST	GP130	NM_002184	IL-6 signal transducer (gp 130, oncostatin M receptor)	3.9 ± 1.4	2.0 ± .3	3
CCR3	CCR3	NM_001837	Chemokine (CC motif) receptor 3	4.2 ± 1.1	1.6 ± .3	2.9
IL11	IL-11	M57765	Interleukin 11	3.9 ± .7	1.7 ± .4	2.8
AIMP1	SCYE1	NM_004757	Small inducible cytokine subfamily E. member 1 (endothelial monocyte-activating)	2.6 ± .5	3.0 ± .6	2.8
BMP2	BMP2	NM_001200	Bone morphogenetic protein 2	3.4 ± .5	2.0 ± .5	2.7
IL18	IL-18	NM_001562	Interleukin 18 (interferon-gamma-inducing factor)	2.2 ± .6	3.1 ± .9	2.7
	TGFb1	X02812	Transforming growth factor beta 1 (Camurati-Engelmann disease)	2.8 ± .5	2.1 ± .4	2.5
XCL1	SCYC1	U23772	Chemokine (C motif) ligand 1	2.5 ± .6	1.8 ± .4	2.2
BMP1	BMP1	NM_006128	Bone morphogenetic protein 1	2.7 ± 1.0	1.5 ± .5	2.1
	VEGF-C	X94216	Vascular endothelial growth factor C	2.5 ± 1.1	1.6 ± .2	2
IL15	IL-15	AF031167	Interleukin 15	2.0 ± .5	2.0 ± .3	2
TNFRSF1A	TNFR1	M33294	Tumor necrosis factor receptor superfamily. member 1A	2.3 ± .7	1.7 ± .5	2
	VEGF-B	U48801	Vascular endothelial growth factor B	2.2 ± .5	1.8 ± .1	2
CXCR4	CXCR4	NM_003467	Chemokine (CXC motif) receptor 4	2.1 ± .5	1.5 ± .5	1.8
IL6	IL-6	M14584	Interleukin 6 (interferon, beta 2)	2.0 ± .6	1.6 ± .2	1.8
IL10	IL-10	M57627	Interleukin 10 (high-level expression in both cell lines)	1.9 ± .5	1.7 ± .4	1.8
	LT-b	NM_002341	Lymphotoxin beta (TNF superfamily, member 3)	1.8 ± .6	1.6 ± .8	1.7
PDGFA	PDGFa	X06374	Platelet-derived growth factor alpha polypeptide	1.7 ± .7	1.7 ± .5	1.7
	LTbR	L04270	Lymphotoxin beta receptor (TNFR superfamily, member 3)	1.7 ± .2	1.6 ± .4	1.7
CCL5	SCYA5	NM_002985	Chemokine (CC motif) ligand 5	1.6 ± .3	1.7 ± .5	1.6
IL17B	IL-20	NM_018724	Interleukin 20	1.6 ± .7	1.6 ± .5	1.6
