Accession Type	Accession Number	Accession Term	List Hits	List Size	Pop. Hits	Pop. Size	Fisher’s Exact	Corrected P Value
GO Biological Process	16192	Cell Proliferation	277	1573	1534	12439	4.661028	2.061023
GO Biological Process	7049	Cell Cycle	178	1573	936	12439	2.161029	1.561026
GO Biological Process	82	G1/S Transition of Mitotic Cycle Cell	25	1573	82	12439	1.661025	2.161023
GO Biological Process	86	G2/M Transition of Mitotic Cycle Cell	19	1573	62	12439	1.561024	1.461022
GO Biological Process	7050	Cell Cycle Arrest	24	1573	98	12439	9.461024	5.061022
GO Biological Process	6915	Apoptosis	150	1573	818	12439	9.061027	2.061024
GO Biological Process	30334	Regulation of Cell Migration	23	1573	81	12439	1.261024	1.261022
GO Biological Process	6511	Ubiquitin-Dependent Protein Catabolism	89	1573	489	12439	2.161024	1.761022
