Gene	WT	PMT	Fold increase in PMT
Spp1	2.00+/-0.56	830+/-279	416
B3galt5	0.990.40	87.9+/-43.1	88.8
Stfa1	2.81+/-1.53	83.2+/-29.0	29.6
Insr	0.73+/-0.22	1.25+/-0.20	1.72
Car12	1.64+/-0.73	948+/-186	577
S100a8	0.88+/-0.11	21.3+/-2.20	24.3
MMP13	0.83+/-0.36	36.8+/-15.7	44.1
Acsl4	0.90+/-0.10	62.3+/-2.00	69.2
Saa1	1.20+/-0.14	2880+/-1975	2394
