Curated miRBas	FC (NEVUS30/MEL30)	Log2(FC)	p value	FDR (BH)	FC Bin	Assay#
hsa-miR-886	0.4464	-1.1637	0.0001	0.0289	FC 2.0-4.0	hsa-miR-886-3p-4395305
hsa-miR-449a	0.2143	-2.2223	0.0006	0.0541	FC > 4	hsa-miR-449a-4373207
hsa-miR-124	0.2453	-2.0273	0.0011	0.0541	FC > 4	hsa-miR-124-4373295
hsa-miR-382	0.1211	-3.0453	0.0011	0.0541	FC > 4	hsa-miR-382-4373019
hsa-miR-301b	0.2264	-2.1432	0.0012	0.0541	FC > 4	hsa-miR-301b-4395503
hsa-miR-363	0.1417	-2.8193	0.0015	0.0577	FC > 4	hsa-miR-363-4378090
hsa-miR-22	0.1349	-2.8895	0.0019	0.0635	FC > 4	hsa-miR-22-4373079
hsa-miR-505	0.2482	-2.0105	0.0028	0.0749	FC > 4	hsa-miR-505-4395200
hsa-miR-135a	0.3156	-1.664	0.0031	0.0749	FC 2.0-4.0	hsa-miR-135a-4373140
hsa-miR-125b	2.0505	1.036	0.0032	0.0749	FC 2.0-4.0	hsa-miR-125b-4373148
hsa-miR-518f	0.3908	-1.3554	0.0193	0.3107	FC 2.0-4.0	hsa-miR-518f-4395499
hsa-miR-886	0.3436	-1.5412	0.0212	0.3107	FC 2.0-4.0	hsa-miR-886-5p-4395304
hsa-miR-517c	0.2671	-1.9043	0.0229	0.3107	FC 2.0-4.0	hsa-miR-517c-4373264
hsa-miR-31	0.1841	-2.4418	0.0247	0.3107	FC > 4	hsa-miR-31-4395390
hsa-miR-542	0.4443	-1.1704	0.0251	0.3107	FC 2.0-4.0	hsa-miR-542-3p-4378101
hsa-miR-449b	0.4818	-1.0536	0.0251	0.3107	FC 2.0-4.0	hsa-miR-449b-4381011
hsa-miR-135b	0.1699	-2.557	0.0273	0.3107	FC > 4	hsa-miR-135b-4395372
hsa-miR-212	0.3822	-1.3875	0.0279	0.3107	FC 2.0-4.0	hsa-miR-212-4373087
hsa-miR-15a	0.2598	-1.9443	0.0281	0.3107	FC 2.0-4.0	hsa-miR-15a-4373123
hsa-miR-362	2.5474	1.349	0.0301	0.3107	FC 2.0-4.0	hsa-miR-362-3p-4395228
hsa-miR-21	0.3731	-1.4224	0.0302	0.3107	FC 2.0-4.0	hsa-miR-21-4373090
hsa-miR-134	0.4606	-1.1185	0.0305	0.3107	FC 2.0-4.0	hsa-miR-134-4373299
hsa-miR-379	0.5984	-0.7408	0.0318	0.3107	FC 1.6-2.0	hsa-miR-379-4373349
hsa-miR-301a	0.4202	-1.251	0.0319	0.3107	FC 2.0-4.0	hsa-miR-301a-4373064
hsa-miR-424	0.2091	-2.2578	0.0332	0.3107	FC > 4	hsa-miR-424-4373201
hsa-miR-548b	0.5227	-0.9359	0.0382	0.3442	FC 1.6-2.0	hsa-miR-548b-5p-4395519
hsa-miR-211	5.3696	2.4248	0.04	0.3443	FC > 4	hsa-miR-211-4373088
hsa-miR-494	0.2695	-1.8915	0.0412	0.3443	FC 2.0-4.0	hsa-miR-494-4395476
hsa-miR-519a	0.4132	-1.2752	0.0458	0.3697	FC 2.0-4.0	hsa-miR-519a-4395526
