Gene name	Description
C9orf19	Chromosome 9 open reading frame 19
LAT	Linker for activation of T cells
CSE1L	CSE1 chromosome segregation 1-like (yeast)
CBX8	Chromobox homolog 8 (Pc class homolog, Drosophila)
MAPK11	Mitogen-activated protein kinase 11
MADD	MAP-kinase activating death domain
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif, 17
EXOC3	Exocyst complex component 3
CSDC2	Cold shock domain containing C2, RNA binding
MUM1	Melanoma associated antigen (mutated) 1
