# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133a|208155_x_at|208155_x_at	hgnc_symbol|GAGE12I|GAGE12I
affy_hg_u133a|204765_at|204765_at	hgnc_symbol|ARHGEF5|ARHGEF5
affy_hg_u133a|214047_s_at|214047_s_at	hgnc_symbol|MBD4|MBD4
affy_hg_u133a|212985_at|212985_at	hgnc_symbol|APBB2|APBB2
affy_hg_u133a|209531_at|209531_at	hgnc_symbol|GSTZ1|GSTZ1
affy_hg_u133a|215903_s_at|215903_s_at	hgnc_symbol|MAST2|MAST2
affy_hg_u133a|215393_s_at|215393_s_at	hgnc_symbol|COBLL1|COBLL1
affy_hg_u133a|213954_at|213954_at	hgnc_symbol|FAM169A|FAM169A
affy_hg_u133a|219840_s_at|219840_s_at	hgnc_symbol|TCL6|TCL6
affy_hg_u133a|220107_s_at|220107_s_at	hgnc_symbol|FAM164C|FAM164C
affy_hg_u133a|202763_at|202763_at	hgnc_symbol|CASP3|CASP3
affy_hg_u133a|209031_at|209031_at	hgnc_symbol|CADM1|CADM1
affy_hg_u133a|211032_at|211032_at	hgnc_symbol|COBLL1|COBLL1
affy_hg_u133a|205411_at|205411_at	hgnc_symbol|STK4|STK4
affy_hg_u133a|213475_s_at|213475_s_at	hgnc_symbol|ITGAL|ITGAL
affy_hg_u133a|214044_at|214044_at	hgnc_symbol|RYR2|RYR2
affy_hg_u133a|214210_at|214210_at	hgnc_symbol|SLC25A17|SLC25A17
affy_hg_u133a|210059_s_at|210059_s_at	hgnc_symbol|MAPK13|MAPK13
affy_hg_u133a|203178_at|203178_at	hgnc_symbol|GATM|GATM
affy_hg_u133a|206659_at|206659_at	hgnc_symbol|FLJ14082|FLJ14082
affy_hg_u133a|205180_s_at|205180_s_at	hgnc_symbol|ADAM8|ADAM8
affy_hg_u133a|210058_at|210058_at	hgnc_symbol|MAPK13|MAPK13
affy_hg_u133a|209232_s_at|209232_s_at	hgnc_symbol|DCTN5|DCTN5
affy_hg_u133a|218789_s_at|218789_s_at	hgnc_symbol|C11orf71|C11orf71
affy_hg_u133a|219238_at|219238_at	hgnc_symbol|PIGV|PIGV
affy_hg_u133a|205899_at|205899_at	hgnc_symbol|CCNA1|CCNA1
affy_hg_u133a|211084_x_at|211084_x_at	hgnc_symbol|PRKD3|PRKD3
affy_hg_u133a|217407_x_at|217407_x_at	hgnc_symbol|PPIL2|PPIL2
affy_hg_u133a|219695_at|219695_at	hgnc_symbol|SMPD3|SMPD3
affy_hg_u133a|203575_at|203575_at	hgnc_symbol|CSNK2A2|CSNK2A2
affy_hg_u133a|207655_s_at|207655_s_at	hgnc_symbol|BLNK|BLNK
affy_hg_u133a|209298_s_at|209298_s_at	hgnc_symbol|ITSN1|ITSN1
