miRNAs	DSS vs control
mmu-miR-612	6.036456042
mmu-miR-689	4.375230241
mmu-miR-150	3.745323045
mmu-miR-142-3p	2.745634213
mmu-miR-1	2.493206094
mmu-miR-18a	2.470673241
mmu-miR-193	1.920453273
mmu-miR-148a	1.897450342
mmu-miR-709	1.865563432
mmu-miR-98	1.862748222
mmu-miR-16	1.834795421
mmu-miR-19b	1.820473214
mmu-miR-155	1.573685447
mmu-miR-23a	1.498489641
mmu-miR-494	1.468847503
mmu-miR-705	1.458199653
mmu-miR-23b	1.453431012
mmu-miR-21	1.394657934
mmu-miR-10a	1.327486046
mmu-miR-126-3p	0.310236091
mmu-miR-20b	0.37126078
mmu-miR-18b	0.396534768
mmu-miR-192	0.420991034
mmu-miR-378	0.446158688
mmu-miR-215	0.554301188
mmu-miR-194	0.663124708
mmu-miR-15b	0.687498293
mmu-miR-17	0.698754302
mmu-miR-29b	0.720348321
mmu-miR-34c	0.758469734
mmu-miR-29c	0.774372361
mmu-miR-20a	0.803742625
mmu-miR-15a	0.821675429
mmu-miR-298	0.866324361
mmu-miR-19a	0.887434128
mmu-miR-34a	0.899436421
mmu-miR-195	0.914785324
mmu-miR-296-5p	0.937258256
