Gene Name	p-value	Coefficient	Absolute value of coefficient	FDR-adjusted p-value
hsa-miR-518e	0.0022255	1.1948	1.1948	0.2399554
hsa-miR-483	0.0028859	0.5319	0.5319	0.2399554
hsa-miR-520d	0.003067	0.8092	0.8092	0.2399554
hsa-miR-525	0.0033105	0.9526	0.9526	0.2399554
hsa-miR-330	0.0053628	-0.7083	0.7083	0.2399554
hsa-miR-562	0.0055595	1.0654	1.0654	0.2399554
hsa-miR-337	0.006145	0.5571	0.5571	0.2399554
hsa-miR-640	0.0061754	0.6883	0.6883	0.2399554
hsa-miR-369-5p	0.0063081	0.5709	0.5709	0.2399554
hsa-miR-518a	0.0063195	0.8763	0.8763	0.2399554
hsa-miR-515-3p	0.0066246	0.5839	0.5839	0.2399554
hsa-miR-576	0.0073309	0.8234	0.8234	0.2399554
hsa-miR-520h	0.0085723	0.6101	0.6101	0.2399554
hsa-miR-191	0.0086028	-0.7043	0.7043	0.2399554
hsa-miR-615	0.0088953	0.6858	0.6858	0.2399554
hsa-miR-484	0.0094934	-2.5723	2.5723	0.2399554
hsa-miR-491	0.0095765	-0.6895	0.6895	0.2399554
hsa-miR-454-5p	0.0096854	0.6318	0.6318	0.2399554
hsa-miR-520c	0.0107434	0.5683	0.5683	0.2399554
hsa-miR-628	0.0110284	-0.6418	0.6418	0.2399554
hsa-miR-668	0.0111191	0.7174	0.7174	0.2399554
hsa-miR-506	0.0112339	0.6266	0.6266	0.2399554
hsa-miR-539	0.0131481	0.6798	0.6798	0.2700418
hsa-miR-299-5p	0.0139394	0.5462	0.5462	0.2756907
hsa-miR-520a	0.0158548	0.4514	0.4514	0.299604
hsa-miR-519d	0.0162706	0.4918	0.4918	0.299604
hsa-miR-517b	0.0171251	0.5344	0.5344	0.3048267
hsa-miR-613	0.0190439	0.5105	0.5105	0.3258428
hsa-miR-493-5p	0.0204272	0.688	0.688	0.3258428
hsa-miR-770-5p	0.0204336	-0.4167	0.4167	0.3258428
hsa-miR-371	0.0207465	0.5158	0.5158	0.3258428
hsa-miR-650	0.0226698	-0.4843	0.4843	0.3395307
hsa-miR-423	0.0228897	-0.6402	0.6402	0.3395307
hsa-miR-96	0.0247258	0.772	0.772	0.3568527
hsa-miR-618	0.0261538	0.6913	0.6913	0.3675304
hsa-miR-519a	0.0300493	0.6334	0.6334	0.3758506
hsa-miR-432	0.0308131	0.6811	0.6811	0.3758506
hsa-miR-302b	0.030846	0.5431	0.5431	0.3758506
hsa-miR-517a	0.0313576	0.5657	0.5657	0.3758506
hsa-miR-220	0.0318732	0.6387	0.6387	0.3758506
hsa-miR-211	0.0323018	0.3984	0.3984	0.3758506
hsa-miR-548d	0.0337991	0.5181	0.5181	0.3758506
hsa-miR-545	0.0338534	-0.9305	0.9305	0.3758506
hsa-miR-93	0.0342364	1.1208	1.1208	0.3758506
hsa-miR-627	0.0345156	-0.6415	0.6415	0.3758506
hsa-miR-522	0.035192	0.5124	0.5124	0.3758506
hsa-miR-526b	0.0367905	0.5903	0.5903	0.3823606
hsa-miR-302a	0.0372336	0.4631	0.4631	0.3823606
hsa-miR-181c	0.0390749	-1.1121	1.1121	0.393698
hsa-miR-99b	0.0411093	-0.6814	0.6814	0.4065257
hsa-miR-662	0.0434816	-0.3715	0.3715	0.4221667
hsa-miR-329	0.0451329	0.9334	0.9334	0.4303746
hsa-miR-519b	0.0469307	0.4994	0.4994	0.4329635
hsa-miR-564	0.0477359	-0.7948	0.7948	0.4329635
hsa-miR-521	0.0481092	0.4129	0.4129	0.4329635
hsa-miR-98	0.0492654	1.3564	1.3564	0.4329635
hsa-miR-553	0.0494584	0.6802	0.6802	0.4329635
