Probe Set ID	Gene Symbol	Corrected p-value	Regulation ([PF] vs [SP])1	Regulation ([PF] vs [ST])1	Regulation ([SP] vs [ST])1
228383_at	PNPLA7	3.20E-08	up	up	down
230087_at	PRIMA1	3.20E-08	up	up	up
235146_at	TMCC3	3.23E-08	up	up	up
239108_at	FAR2	3.23E-08	up	down	down
206335_at	GALNS	3.23E-08	up	up	up
202587_s_at	AK1	3.23E-08	down	up	up
205932_s_at	MSX1	3.23E-08	up	up	up
227642_at	TFCP2L1	3.24E-08	up	up	up
224162_s_at	FBXO31	3.49E-08	down	down	down
205154_at	LRRN2	3.57E-08	up	up	up
201489_at	PPIF	3.73E-08	up	up	down
1562831_a_at	LOC283089	3.73E-08	up	up	up
209911_x_at	HIST1H2BD	4.47E-08	down	up	up
1557280_s_at		4.50E-08	down	up	up
205616_at	KCNA6	4.52E-08	up	up	up
242414_at	QPRT	4.52E-08	down	up	up
201243_s_at	ATP1B1	4.52E-08	up	up	up
229085_at	LRRC3B	4.90E-08	down	down	down
202207_at	ARL4C	5.08E-08	up	up	up
227209_at	CNTN1	5.08E-08	up	up	up
217250_s_at	CHD5	5.11E-08	down	down	down
241382_at	PCP4L1	5.11E-08	up	down	down
242458_at	RALGPS2	5.27E-08	down	up	up
242345_at	COL28A1	5.78E-08	up	up	up
205805_s_at	ROR1	5.83E-08	up	up	down
215119_at	MYO16	5.85E-08	up	up	up
204782_at	MLF1	5.93E-08	down	up	up
230482_at	ST6GALNAC5	6.04E-08	down	down	down
228312_at	PI16	6.30E-08	up	up	up
230043_at	MUC20	6.83E-08	up	up	up
1556606_at	NAV2	6.90E-08	down	up	up
230828_at		7.10E-08	up	up	up
234330_at		7.12E-08	up	up	up
209311_at	BCL2L2	7.24E-08	down	down	down
233129_at		7.24E-08	up	up	up
230472_at	IRX1	7.24E-08	up	up	up
201134_x_at	COX7C	7.39E-08	up	up	up
203907_s_at	IQSEC1	7.65E-08	down	down	down
237352_at		7.69E-08	up	up	down
1553440_at	C18orf16	7.69E-08	up	up	up
205116_at	LAMA2	8.14E-08	up	up	down
243764_at	VSIG1	8.24E-08	down	up	up
239921_at	COL28A1	8.43E-08	up	up	up
212643_at	MAPK1IP1L	8.44E-08	up	up	up
205216_s_at	APOH	8.56E-08	up	up	up
1559020_a_at		8.57E-08	up	up	up
211913_s_at	MERTK	8.75E-08	down	down	down
223603_at	RNF112	8.86E-08	up	down	down
234650_at		8.95E-08	down	down	up
215695_s_at	GYG2	9.00E-08	up	up	up
229064_s_at	RCAN3	9.23E-08	down	up	up
1557702_at		9.74E-08	up	up	up
208288_at	ABCB11	9.85E-08	up	up	down
216074_x_at	WWC1	1.00E-07	down	up	up
243745_at		1.00E-07	up	up	up
234196_at		1.01E-07	up	up	down
229435_at	GLIS3	1.03E-07	down	up	up
218326_s_at	LGR4	1.13E-07	down	up	up
241368_at	LSDP5	1.14E-07	up	up	up
226718_at	AMIGO1	1.19E-07	down	down	down
219988_s_at	RNF220	1.28E-07	down	down	down
214021_x_at	ITGB5	1.29E-07	down	down	up
220462_at	CSRNP3	1.31E-07	up	up	up
227662_at	SYNPO2	1.35E-07	up	up	up
229259_at	GFAP	1.35E-07	up	up	up
235355_at		1.36E-07	down	up	up
210964_s_at	GYG2	1.40E-07	down	up	up
218536_at	MRS2	1.41E-07	down	down	up
233955_x_at	CXXC5	1.42E-07	up	up	up
214264_s_at	C14orf143	1.42E-07	down	up	up
242804_at	POLN	1.42E-07	up	up	down
235781_at	CACNA1B	1.43E-07	up	down	down
229681_at		1.45E-07	up	down	down
1556488_s_at	C3orf15	1.45E-07	down	up	up
231709_x_at		1.51E-07	down	up	up
201242_s_at	ATP1B1	1.55E-07	up	up	up
236085_at	CAPSL	1.56E-07	down	up	up
223133_at	TMEM14B	1.73E-07	down	down	up
238444_at	ZNF618	1.73E-07	up	up	up
205191_at	RP2	1.73E-07	down	up	up
205019_s_at	VIPR1	1.74E-07	up	down	down
229492_at	VANGL1	1.74E-07	down	up	up
1552626_a_at	TMEM163	1.74E-07	up	up	up
220281_at	SLC12A1	1.74E-07	up	up	up
232669_at	HIF3A	1.74E-07	up	up	down
210302_s_at	MAB21L2	1.74E-07	up	up	up
220483_s_at	RNF19A	1.74E-07	up	up	up
1553505_at	A2ML1	1.77E-07	up	up	up
1553977_a_at	CYP39A1	1.80E-07	up	up	up
216370_s_at	TKTL1	1.81E-07	down	up	up
204541_at	SEC14L2	1.83E-07	up	up	down
229872_s_at	LOC100132999	1.83E-07	down	up	up
239763_at	LOC100129965 /// PRDM11	1.87E-07	down	down	down
207184_at	SLC6A13	2.01E-07	up	up	down
230172_at	IFI27L1	2.01E-07	up	up	up
1552521_a_at	TMEM74	2.04E-07	up	up	up
1563523_at		2.06E-07	up	up	up
206083_at	BAI1	2.12E-07	up	down	down
209297_at	ITSN1	2.25E-07	down	up	up
221675_s_at	CHPT1	2.30E-07	up	down	down
237108_x_at	FLJ42875	2.31E-07	up	down	down
235018_at		2.33E-07	down	up	up
201106_at	GPX4	2.43E-07	up	down	down
217491_x_at	COX7C	2.51E-07	down	up	up
225096_at	C17orf79	2.51E-07	down	up	up
226926_at	DMKN	2.51E-07	down	up	up
211057_at	ROR1	2.56E-07	up	up	down
208950_s_at	ALDH7A1	2.61E-07	down	up	up
205578_at	ROR2	2.64E-07	up	up	up
214933_at	CACNA1A	2.65E-07	up	up	down
206605_at	P11	2.82E-07	up	up	down
1559394_a_at		2.84E-07	up	up	down
205056_s_at	GPR162	2.99E-07	up	up	up
209298_s_at	ITSN1	2.99E-07	down	up	up
219400_at	CNTNAP1	2.99E-07	down	down	down
206349_at	LGI1	3.01E-07	up	up	up
236717_at	FAM179A	3.04E-07	up	up	up
225732_at	KLHDC5	3.04E-07	up	down	down
210179_at	KCNJ13	3.06E-07	down	up	up
1558122_s_at		3.06E-07	down	up	up
226154_at	DNM1L	3.07E-07	down	down	down
236858_s_at	RUNX2	3.08E-07	up	up	up
1554004_a_at	RGNEF	3.10E-07	down	down	up
205165_at	CELSR3	3.10E-07	up	down	down
226622_at	MUC20	3.14E-07	up	up	up
226863_at	FAM110C	3.23E-07	up	up	up
203669_s_at	DGAT1	3.32E-07	up	down	down
205421_at	SLC22A3	3.32E-07	up	up	up
1555602_a_at	ELAVL3	3.35E-07	up	down	down
227499_at		3.35E-07	down	up	up
224789_at	WDR40A	3.39E-07	down	up	up
223347_at	MUM1	3.40E-07	up	down	down
216840_s_at	LAMA2	3.42E-07	up	up	up
232267_at	GPR133	3.42E-07	up	up	down
204454_at	LDOC1	3.44E-07	down	down	down
243277_x_at	EVI1	3.44E-07	up	up	up
213085_s_at	WWC1	3.47E-07	down	up	up
234442_at		3.48E-07	down	up	up
226592_at	ZNF618	3.48E-07	up	up	up
222083_at	GLYAT	3.50E-07	down	up	up
226322_at	TMTC1	3.53E-07	down	down	down
200762_at	DPYSL2	3.53E-07	up	up	up
236725_at	WWC1	3.63E-07	up	up	up
239872_at		3.64E-07	up	down	down
1557659_a_at		3.66E-07	down	up	up
214652_at	DRD1	3.66E-07	down	up	up
215798_at	ALDH1L1	3.66E-07	up	up	up
223503_at	TMEM163	3.66E-07	up	up	up
204521_at	C12orf24	3.67E-07	down	down	down
40020_at	CELSR3	3.77E-07	up	down	down
227606_s_at	STAMBPL1	3.86E-07	down	up	up
203997_at	PTPN3	3.86E-07	down	up	up
233079_at	MERTK	3.92E-07	up	down	down
206435_at	B4GALNT1	3.92E-07	up	down	down
224924_at	TTC7A	3.92E-07	up	up	up
220648_at	ADARB2	3.92E-07	up	up	down
226931_at	TMTC1	3.95E-07	down	down	down
240903_at		4.02E-07	up	down	down
1569788_at	ST8SIA1	4.12E-07	down	up	up
220091_at	SLC2A6	4.18E-07	up	down	down
219352_at	HERC6	4.32E-07	down	down	down
241950_at		4.58E-07	down	up	up
208510_s_at	PPARG	4.58E-07	up	up	up
241744_x_at		4.71E-07	down	up	up
203906_at	IQSEC1	4.71E-07	up	down	down
201170_s_at	BHLHE40	4.72E-07	up	up	up
227195_at	ZNF503	4.82E-07	down	up	up
209370_s_at	SH3BP2	4.91E-07	up	down	down
204724_s_at	COL9A3	4.91E-07	up	down	down
234583_at	CHL1	4.95E-07	down	down	up
212043_at	TGOLN2	4.95E-07	down	down	down
235017_s_at		4.95E-07	up	up	up
213519_s_at	LAMA2	4.97E-07	up	up	up
244096_at		5.00E-07	down	up	up
1563482_at		5.00E-07	up	up	up
237449_at	SP8	5.01E-07	down	down	up
235945_at	SRD5A2	5.01E-07	down	up	up
205020_s_at	ARL4A	5.01E-07	down	up	up
211224_s_at	ABCB11	5.01E-07	up	up	down
210963_s_at	GYG2	5.01E-07	down	up	up
208916_at	SLC1A5	5.10E-07	up	down	down
1553976_a_at	RP11-529I10.4	5.10E-07	down	up	up
225800_at	JAZF1	5.10E-07	down	up	up
210770_s_at	CACNA1A	5.10E-07	up	up	down
206306_at	RYR3	5.10E-07	up	up	up
213622_at	COL9A2	5.14E-07	up	up	up
204518_s_at	PPIC	5.25E-07	up	up	up
231743_at	WNT3	5.25E-07	up	up	up
221524_s_at	RRAGD	5.35E-07	up	up	up
218796_at	FERMT1	5.35E-07	up	up	down
228233_at	FREM1	5.39E-07	down	up	up
221556_at	CDC14B	5.48E-07	down	down	down
221555_x_at	CDC14B	5.49E-07	down	down	down
221348_at	NPPC	5.67E-07	up	up	up
202504_at	TRIM29	5.67E-07	down	up	up
226009_at	RP11-529I10.4	5.84E-07	down	up	up
210448_s_at	P2RX5	5.90E-07	up	down	down
1554784_at	CNTN1	6.04E-07	up	up	up
1558579_at	FLJ37786	6.04E-07	down	up	up
231810_at	BRI3BP	6.09E-07	down	down	down
1561660_at	MCART6	6.18E-07	down	up	up
227612_at	ELAVL3	6.27E-07	up	down	down
201432_at	CAT	6.43E-07	down	up	up
1554140_at	WDR78	6.43E-07	down	up	up
228285_at	TDRD9	6.43E-07	up	up	up
228028_at	FAM59B	6.46E-07	up	down	down
235472_at	FUT10	6.49E-07	down	down	up
229175_at	SMYD4	6.49E-07	up	down	down
239644_at		6.52E-07	down	down	down
222996_s_at	CXXC5	6.63E-07	up	up	up
205666_at	FMO1	6.66E-07	down	up	up
226424_at	CAPS	6.77E-07	down	up	up
218749_s_at	SLC24A6	6.98E-07	up	down	down
224984_at	NFAT5	7.06E-07	down	down	down
204917_s_at	MLLT3	7.15E-07	down	up	up
238657_at	UBXN10	7.21E-07	down	up	up
1554292_a_at	UHRF1BP1L	7.46E-07	down	down	up
227944_at	PTPN3	7.47E-07	down	up	up
1568629_s_at	PIK3R2	7.68E-07	up	down	down
238663_x_at	GRIA4	7.69E-07	up	up	up
226590_at	ZNF618	7.83E-07	up	up	up
217630_at	ANGEL2	7.88E-07	down	down	up
202132_at	WWTR1	7.89E-07	up	up	up
224516_s_at	CXXC5	7.91E-07	up	up	up
1562240_at	PLXNA4	8.08E-07	up	up	down
213624_at	SMPDL3A	8.09E-07	down	down	up
214209_s_at	ABCB9	8.22E-07	up	up	down
236131_at		8.29E-07	up	down	down
35776_at	ITSN1	8.29E-07	down	up	up
230438_at	TBX15	8.33E-07	down	down	down
1564307_a_at	A2ML1	8.36E-07	up	up	up
235521_at	HOXA3	8.43E-07	up	up	up
230393_at	CUL5	8.46E-07	down	up	up
211298_s_at	ALB	8.51E-07	up	up	up
206032_at	DSC3	8.57E-07	up	up	up
236313_at	CDKN2B	8.57E-07	down	down	down
230413_s_at		8.57E-07	down	up	up
203839_s_at	TNK2	8.61E-07	up	down	down
228557_at	L3MBTL4	8.61E-07	up	down	down
232384_s_at		8.61E-07	up	up	up
220287_at	ADAMTS9	8.61E-07	up	up	up
219523_s_at	ODZ3	8.61E-07	up	up	up
222891_s_at	BCL11A	8.83E-07	down	down	down
230311_s_at	PRDM6	8.90E-07	up	up	up
221218_s_at	TPK1	8.99E-07	up	down	down
222352_at		9.17E-07	down	down	down
1556666_a_at	TTC6	9.17E-07	down	up	up
221902_at	GPR153	9.21E-07	up	down	down
234971_x_at	PLCD3	9.21E-07	up	up	up
223105_s_at	TMEM14B /// TMEM14C	9.22E-07	down	down	up
236090_at		9.46E-07	down	down	down
1570482_at		9.82E-07	up	up	up
210347_s_at	BCL11A	1.01E-06	down	down	down
204379_s_at	FGFR3	1.02E-06	up	down	down
223432_at	OSBP2	1.02E-06	up	down	down
229012_at	C9orf24	1.05E-06	down	up	up
203940_s_at	VASH1	1.05E-06	up	down	down
219517_at	ELL3	1.06E-06	down	down	down
207010_at	GABRB1	1.06E-06	up	down	down
205478_at	PPP1R1A	1.06E-06	up	up	up
202308_at	SREBF1	1.08E-06	up	down	down
1559739_at	CHPT1	1.08E-06	up	down	down
206101_at	ECM2	1.08E-06	up	up	up
243128_at	ZNF175	1.11E-06	down	up	up
212644_s_at	MAPK1IP1L	1.11E-06	up	up	up
1556989_at		1.11E-06	up	up	up
215598_at	TTC12	1.12E-06	down	up	up
204082_at	PBX3	1.12E-06	up	up	up
208434_at	MDS1	1.12E-06	up	up	up
241887_at		1.13E-06	down	down	up
202744_at	SLC20A2	1.13E-06	up	up	up
223807_at	IGSF1	1.14E-06	up	up	up
230956_at	C11orf92	1.14E-06	up	up	up
204989_s_at	ITGB4	1.14E-06	up	up	up
225645_at	EHF	1.14E-06	up	up	up
218744_s_at	PACSIN3	1.18E-06	up	down	down
219685_at	TMEM35	1.19E-06	down	down	down
202701_at	BMP1	1.19E-06	up	up	up
241440_at	FLJ30375	1.19E-06	up	up	up
232060_at	ROR1	1.20E-06	up	up	up
228398_at	SENP8	1.21E-06	down	up	up
220497_at	ZNF214	1.24E-06	down	up	up
230546_at	VASH1	1.27E-06	up	down	down
1552520_at	TMEM74	1.27E-06	up	up	up
229865_at	FNDC3B	1.28E-06	down	up	up
227048_at	LAMA1	1.30E-06	down	up	up
212314_at	KIAA0746	1.31E-06	down	down	down
243652_at		1.31E-06	up	up	down
242426_at	NRG4	1.34E-06	down	up	up
237238_at	WWC1	1.35E-06	up	up	up
210185_at	CACNB1	1.35E-06	up	down	down
200975_at	PPT1	1.35E-06	down	down	down
1562957_at		1.35E-06	down	up	up
202133_at	WWTR1	1.37E-06	up	up	up
212231_at	FBXO21	1.40E-06	down	down	down
206289_at	HOXA4	1.40E-06	up	up	up
206080_at	PLCH2	1.40E-06	up	down	down
238983_at	NSUN7	1.43E-06	down	up	up
201501_s_at	GRSF1	1.43E-06	down	up	up
237173_at		1.49E-06	down	up	up
210335_at	RASSF9	1.49E-06	down	up	up
209692_at	EYA2	1.50E-06	up	up	up
1559766_at		1.52E-06	up	up	up
226203_at		1.53E-06	up	up	up
225557_at	CSRNP1	1.53E-06	up	up	up
244384_at		1.53E-06	up	up	up
205315_s_at	SNTB2	1.53E-06	up	down	down
64942_at	GPR153	1.54E-06	down	down	down
232109_at	UBXN10	1.54E-06	down	up	up
1559249_at	ATXN1	1.57E-06	down	up	up
225299_at	MYO5B	1.57E-06	down	up	up
212312_at	BCL2L1	1.58E-06	up	up	up
222328_x_at	MEG3	1.60E-06	up	down	down
214460_at	LSAMP	1.60E-06	up	up	down
232960_at	NUP62CL	1.61E-06	down	up	up
201012_at	ANXA1	1.63E-06	down	up	up
202830_s_at	SLC37A4	1.63E-06	down	down	down
206685_at	HCG4	1.64E-06	up	up	down
230972_at	ANKRD9	1.64E-06	down	down	down
230928_at		1.68E-06	down	down	down
1557055_s_at	LOC643837	1.68E-06	up	up	up
225990_at	BOC	1.72E-06	up	up	up
210508_s_at	KCNQ2	1.72E-06	up	down	down
231729_s_at	CAPS	1.72E-06	down	up	up
1556665_at	TTC6	1.77E-06	down	up	up
225343_at	TMED8	1.78E-06	down	down	up
209726_at	CA11	1.80E-06	up	down	down
232317_at	PLXNA4	1.82E-06	up	up	up
203300_x_at	AP1S2	1.82E-06	up	up	up
210715_s_at	SPINT2	1.88E-06	down	down	down
212875_s_at	C2CD2	1.88E-06	up	up	up
231941_s_at	MUC20	1.89E-06	up	up	up
213388_at	PDE4DIP	1.91E-06	up	up	up
203271_s_at	UNC119	1.92E-06	up	down	down
240236_at	STXBP5L	1.92E-06	up	up	down
236031_x_at		1.95E-06	down	up	up
201910_at	FARP1	1.97E-06	up	up	up
209291_at	ID4	1.97E-06	down	up	up
231063_at		1.97E-06	up	up	down
234001_s_at	ARFGAP1	2.00E-06	up	down	down
222025_s_at	OPLAH	2.00E-06	up	down	down
1557154_at	FLJ30375	2.06E-06	up	up	up
1557256_a_at		2.07E-06	up	down	down
208562_s_at	ABCC9	2.09E-06	up	up	up
217568_at	FAM12A	2.09E-06	down	up	up
239466_at	LOC344595	2.12E-06	down	up	up
