Probe Set ID	Gene Symbol	Corrected p-value	Regulation ([PF] vs [SP])1	Regulation ([PF] vs [ST])1	Regulation ([SP] vs [ST])1
218771_at	PANK4	6.06E-04	up	down	down
230701_x_at	KIF9	6.06E-04	down	up	up
239070_at		6.07E-04	up	up	down
222136_x_at	ZNF43	6.09E-04	down	down	up
242162_at	WDR69	6.09E-04	down	up	up
243672_at	SALL3	6.10E-04	down	down	down
1563414_at		6.11E-04	up	up	up
236878_at		6.12E-04	up	down	down
209772_s_at	CD24	6.12E-04	down	up	up
1569124_at	LRRC63	6.12E-04	down	up	up
1553787_at	C11orf45	6.13E-04	up	down	down
229097_at	DIAPH3	6.13E-04	down	up	up
205652_s_at	TTLL1	6.13E-04	down	up	up
208604_s_at	HOXA3	6.13E-04	up	up	down
226916_x_at	DPP9	6.14E-04	up	down	down
223691_at	RGS22	6.16E-04	down	up	up
1558451_at	LOC285500	6.17E-04	down	down	up
227002_at	FAM78A	6.17E-04	up	down	down
1559261_a_at	PKD1L2	6.17E-04	up	up	up
211751_at	PDE4DIP	6.17E-04	up	up	up
219880_at		6.17E-04	down	up	up
242761_s_at	ZNF420	6.17E-04	down	down	down
243629_x_at		6.17E-04	up	up	up
220344_at	C11orf16	6.21E-04	up	up	up
236909_at	C2orf77	6.25E-04	down	up	up
211512_s_at	OGFR	6.27E-04	up	down	down
209371_s_at	SH3BP2	6.28E-04	up	down	down
222330_at		6.28E-04	up	up	up
237015_at		6.28E-04	up	up	down
204947_at	E2F1	6.28E-04	up	down	down
1559221_at		6.29E-04	up	up	down
228649_at	NOTUM	6.29E-04	up	down	down
214282_at		6.29E-04	down	up	up
234936_s_at	CC2D2A	6.30E-04	down	up	up
242264_at		6.34E-04	up	up	up
204682_at	LTBP2	6.34E-04	down	down	down
203574_at	NFIL3	6.34E-04	up	up	up
217759_at	TRIM44	6.34E-04	down	down	up
241693_at		6.34E-04	down	down	up
223811_s_at	C7orf20	6.35E-04	up	down	down
209874_x_at	CNNM2	6.38E-04	down	down	down
238818_at	KIAA1429	6.38E-04	down	down	down
239350_at	MARVELD3	6.38E-04	up	up	down
223269_at	POLR3GL	6.39E-04	down	down	up
1557660_s_at	LOC728883	6.39E-04	up	up	down
208996_s_at	POLR2C	6.39E-04	down	down	down
209064_x_at	PAIP1	6.39E-04	down	down	up
1565937_a_at	LMO3	6.39E-04	up	up	up
205924_at	RAB3B	6.39E-04	down	down	up
202845_s_at	RALBP1	6.39E-04	down	down	down
203576_at	BCAT2	6.40E-04	up	up	down
227815_at		6.40E-04	down	down	down
235650_at	FLJ23834	6.40E-04	down	up	up
225871_at	STEAP2	6.41E-04	down	down	down
210988_s_at	PRUNE	6.42E-04	down	down	up
203585_at	ZNF185	6.43E-04	down	down	down
204437_s_at	FOLR1	6.43E-04	down	up	up
208146_s_at	CPVL	6.43E-04	up	up	up
208072_s_at	DGKD	6.47E-04	up	up	down
226295_at	ITFG2	6.48E-04	down	down	down
218062_x_at	CDC42EP4	6.48E-04	up	up	down
219542_at	NEK11	6.48E-04	down	up	up
1553646_at	HDX	6.49E-04	down	down	up
234767_at	FAR1	6.50E-04	down	down	up
205730_s_at	ABLIM3	6.54E-04	up	down	down
200845_s_at	PRDX6	6.54E-04	down	up	up
224752_at	PL-5283	6.54E-04	down	up	up
1556629_a_at	SNAP25	6.55E-04	up	down	down
213273_at	ODZ4	6.56E-04	down	up	up
236873_at		6.57E-04	up	down	down
219331_s_at	KLHDC8A	6.57E-04	down	down	up
228236_at	C20orf54	6.57E-04	up	down	down
205883_at	ZBTB16	6.57E-04	up	up	down
203439_s_at	STC2	6.57E-04	up	up	down
214535_s_at	ADAMTS2	6.57E-04	up	down	down
1554697_at	ADAMTS9	6.57E-04	up	up	up
227087_at	INPP4A	6.58E-04	down	up	up
1556794_at		6.58E-04	up	up	down
213345_at	NFATC4	6.59E-04	up	down	down
210624_s_at	ILVBL	6.59E-04	up	down	down
213197_at	ASTN1	6.59E-04	down	down	down
231238_at		6.59E-04	down	up	up
207311_at	DOC2B	6.59E-04	up	down	down
224313_at	AASDHPPT	6.60E-04	down	up	up
230826_at	MMD2	6.63E-04	up	down	down
232184_at	ALS2	6.64E-04	down	down	up
232839_at		6.64E-04	down	up	up
236712_at		6.64E-04	down	up	up
229575_at		6.66E-04	up	up	up
205489_at	CRYM	6.68E-04	down	down	down
220725_x_at	DNAH3	6.70E-04	down	up	up
239346_at		6.73E-04	down	down	up
235453_at	TOR1AIP2	6.74E-04	down	down	up
222960_at	CACNA1H	6.74E-04	up	down	down
1556592_at		6.74E-04	down	down	up
202530_at	MAPK14	6.74E-04	down	down	down
1552277_a_at	C9orf30	6.74E-04	down	up	up
205897_at	NFATC4	6.75E-04	up	down	down
204762_s_at	GNAO1	6.75E-04	down	down	down
221622_s_at	TMEM126B	6.76E-04	down	down	up
235071_at	WDR92	6.76E-04	down	up	up
209948_at	KCNMB1	6.76E-04	down	up	up
219281_at	MSRA	6.76E-04	down	up	up
1568634_a_at	LRRC66	6.76E-04	up	up	up
240886_at	CASR	6.78E-04	up	up	down
1552448_a_at	C8orf12	6.79E-04	up	up	up
227742_at	CLIC6	6.79E-04	up	up	up
1569021_at	PIK3C2A	6.81E-04	down	down	up
223486_at	GTPBP8	6.81E-04	down	down	up
1568815_a_at	DDX50	6.82E-04	down	down	down
219562_at	RAB26	6.82E-04	up	down	down
220500_s_at	RABL2A /// RABL2B	6.82E-04	down	up	up
218911_at	YEATS4	6.85E-04	down	down	up
242602_x_at	ZNF254	6.85E-04	down	down	down
1560851_at	C10orf136	6.86E-04	up	up	down
1560846_at		6.86E-04	down	up	up
1558942_at	ZNF765	6.87E-04	down	down	up
1556895_a_at	NT5DC2	6.87E-04	down	down	down
235753_at	HOXA7	6.87E-04	down	up	up
233946_at	SMU1	6.87E-04	up	up	down
213503_x_at	ANXA2	6.87E-04	down	up	up
1598_g_at	GAS6 /// LOC100133684	6.87E-04	down	down	down
208487_at	LMX1B	6.87E-04	up	down	down
233143_at	C20orf173	6.87E-04	up	up	down
235928_at		6.90E-04	up	up	up
227151_at	SNX33	6.90E-04	up	up	down
218946_at	NFU1	6.92E-04	down	down	up
228363_at	XIAP	6.92E-04	down	down	down
219151_s_at	RABL2A /// RABL2B	6.92E-04	down	up	up
219170_at	FSD1	6.93E-04	up	down	down
242430_at	CCDC69	6.93E-04	up	up	down
226692_at	HYPK /// SERF2	6.93E-04	down	up	up
205395_s_at	MRE11A	6.93E-04	down	up	up
240496_at		6.93E-04	up	down	down
206263_at	FMO4	6.93E-04	down	up	up
209443_at	SERPINA5	6.93E-04	up	up	down
214329_x_at	TNFSF10	6.93E-04	down	down	up
223197_s_at	SMARCAD1	6.93E-04	down	down	up
232514_at	KIF27	6.93E-04	down	up	up
227865_at	C9orf103	6.94E-04	down	up	up
219442_at	C16orf67	6.94E-04	up	down	down
218694_at	ARMCX1	6.97E-04	down	down	up
226996_at	LCLAT1	6.99E-04	down	down	up
231917_at	GFM2	6.99E-04	down	down	up
226233_at	B3GALNT2	6.99E-04	down	down	up
38069_at	CLCN7	6.99E-04	up	up	down
201431_s_at	DPYSL3	6.99E-04	down	up	up
203544_s_at	STAM	6.99E-04	down	down	down
227437_at		7.00E-04	down	up	up
219645_at	CASQ1	7.00E-04	up	down	down
222725_s_at	PALMD	7.00E-04	down	up	up
231165_at		7.02E-04	up	down	down
235273_at	DYX1C1	7.02E-04	down	up	up
222919_at	TRDN	7.02E-04	down	down	up
238721_at	MDH1B	7.02E-04	down	up	up
235601_at		7.02E-04	up	up	down
225389_at	BTBD6	7.03E-04	down	down	down
240277_at		7.04E-04	down	down	up
231791_at	ASAH2B	7.04E-04	down	down	up
201353_s_at	BAZ2A	7.04E-04	up	down	down
212327_at	LIMCH1	7.05E-04	down	up	up
218361_at	GOLPH3L	7.05E-04	down	up	up
240240_at		7.08E-04	up	up	down
1556685_at		7.09E-04	up	down	down
220464_at	MCF2L	7.09E-04	up	down	down
216397_s_at	BOP1	7.09E-04	up	down	down
225344_at	NCOA7	7.09E-04	down	down	down
1562563_at	HCN1	7.09E-04	up	up	up
230629_s_at	EP400	7.09E-04	up	up	down
220643_s_at	FAIM	7.10E-04	down	up	up
209806_at	HIST1H2BK	7.10E-04	down	up	up
242882_at	RNF207	7.10E-04	up	down	down
1561101_at	LOC153469	7.11E-04	down	up	up
227701_at	C10orf118	7.11E-04	down	down	up
203652_at	MAP3K11	7.11E-04	up	down	down
203797_at	VSNL1	7.11E-04	down	down	down
226030_at	ACADSB	7.12E-04	down	down	down
226251_at	ASXL2	7.13E-04	down	down	up
212732_at	MEG3	7.13E-04	up	down	down
205894_at	ARSE	7.13E-04	down	up	up
238703_at	C21orf70 /// LOC729535	7.14E-04	up	up	down
243199_at		7.14E-04	up	up	down
229431_at	RFXAP	7.17E-04	down	up	up
202508_s_at	SNAP25	7.17E-04	up	down	down
233184_at	EPHA6	7.18E-04	up	up	down
1554683_a_at	MGC50722	7.20E-04	up	down	down
202417_at	KEAP1	7.20E-04	up	down	down
1568868_at	CYP27C1	7.20E-04	up	down	down
1562408_at		7.20E-04	down	up	up
236984_at	C4orf26	7.21E-04	up	up	down
232692_at	TDRD6	7.21E-04	up	up	up
237030_at	ACPP	7.22E-04	down	down	down
219842_at	ARL15	7.23E-04	down	down	up
223696_at	ARSD	7.25E-04	down	up	up
1553997_a_at	ASPHD1	7.28E-04	up	down	down
220898_at		7.28E-04	up	up	down
231940_at	ZNF529	7.29E-04	down	down	up
213663_s_at		7.29E-04	down	up	up
202177_at	GAS6 /// LOC100133684	7.29E-04	down	down	down
1553500_at	FBXL21	7.32E-04	up	up	up
201331_s_at	STAT6	7.33E-04	up	down	down
226365_at		7.37E-04	up	up	up
1554133_at	RUFY2	7.37E-04	down	down	down
229299_at	C5orf33	7.41E-04	down	up	up
228230_at	PRIC285	7.42E-04	down	down	down
206039_at	RAB33A	7.44E-04	up	down	down
201645_at	TNC	7.45E-04	up	up	up
235353_at	KIAA0746	7.46E-04	up	down	down
241921_x_at		7.46E-04	up	up	down
207266_x_at	RBMS1	7.46E-04	down	up	up
236622_at	PIGM	7.47E-04	down	down	up
230287_at	SGSM1	7.47E-04	down	up	up
211756_at	PTHLH	7.48E-04	up	down	down
226842_at	LOC90110	7.50E-04	down	down	down
228097_at	MYLIP	7.50E-04	down	down	up
229640_x_at		7.53E-04	up	up	down
1554281_at		7.54E-04	up	up	down
204553_x_at	INPP4A	7.56E-04	down	up	up
212913_at	C6orf26 /// MSH5	7.56E-04	down	up	up
211315_s_at	CACNA1G	7.57E-04	up	down	down
218173_s_at	WHSC1L1	7.59E-04	down	down	down
238590_x_at	TMEM107	7.59E-04	down	up	up
221486_at	ENSA	7.60E-04	down	down	down
209165_at	AATF	7.61E-04	down	down	down
231172_at	C9orf117	7.62E-04	down	up	up
244642_at		7.62E-04	up	down	down
201281_at	ADRM1	7.67E-04	up	down	down
214985_at	EXT1	7.68E-04	down	up	up
207379_at	EDIL3	7.68E-04	up	up	up
232172_at	LOC401577	7.69E-04	down	up	up
208906_at	BSCL2	7.69E-04	down	down	down
236935_at		7.69E-04	down	down	up
241841_at		7.70E-04	down	up	up
1554470_s_at	ZBTB44	7.70E-04	down	down	down
209204_at	LMO4	7.71E-04	up	down	down
243843_at	N4BP2L1	7.72E-04	down	down	down
241987_x_at	SNX31	7.72E-04	down	down	up
211056_s_at	SRD5A1	7.72E-04	down	down	down
240042_at	FIBCD1	7.73E-04	down	up	up
231286_at	C9orf47	7.73E-04	up	up	up
201642_at	IFNGR2	7.75E-04	up	down	down
212925_at	C19orf21	7.76E-04	up	down	down
212146_at	PLEKHM2	7.78E-04	up	down	down
225401_at	C1orf85	7.78E-04	down	down	up
235418_at	LOC285014	7.81E-04	up	down	down
213279_at	DHRS1	7.81E-04	down	up	up
1553234_at	ADAMTS18	7.81E-04	down	up	up
1569067_at		7.81E-04	up	up	up
244280_at		7.83E-04	up	up	down
223945_x_at	RP9P	7.83E-04	down	down	down
240466_at		7.84E-04	down	down	up
229581_at	ELFN1	7.85E-04	down	down	down
231008_at	UNC5CL	7.85E-04	up	up	up
230785_at		7.87E-04	down	down	down
232823_at		7.87E-04	up	up	down
218901_at	PLSCR4	7.88E-04	up	up	up
220168_at	CASC1	7.89E-04	down	up	up
227403_at	PIGX	7.90E-04	down	down	up
239398_at	KLHL31	7.91E-04	up	up	up
201726_at	ELAVL1	7.91E-04	down	up	up
239155_at	CXADRP1	7.91E-04	down	up	up
225942_at	NLN	7.91E-04	up	down	down
65770_at	RHOT2	7.91E-04	up	down	down
225643_at	MAPK1IP1L	7.91E-04	up	up	up
231683_at	GLYAT	7.92E-04	down	down	up
209191_at	TUBB6	7.92E-04	up	up	up
202473_x_at	HCFC1	7.92E-04	up	up	down
219372_at	IFT81	7.93E-04	down	up	up
204737_s_at	MYH6 /// MYH7	7.94E-04	up	up	up
1556770_a_at	FBXL13	7.94E-04	up	down	down
221761_at	ADSS	7.95E-04	down	down	up
223330_s_at	SUGT1	7.95E-04	down	down	up
204176_at	KLHL20	7.98E-04	down	down	up
222131_x_at	RHOT2	7.98E-04	up	down	down
232668_at		7.99E-04	up	up	down
202613_at	CTPS	8.00E-04	down	down	down
225106_s_at	OGFOD1	8.01E-04	down	down	up
227145_at	LOXL4	8.01E-04	down	down	up
226689_at	CISD2	8.02E-04	up	down	down
1555881_s_at	LZTS2	8.02E-04	up	down	down
203732_at	TRIP4	8.05E-04	down	up	up
237251_at	C1orf92	8.06E-04	down	up	up
232488_at	AGXT2L2	8.06E-04	up	up	up
225270_at	NEO1	8.07E-04	up	up	up
240106_at	GNPTAB	8.10E-04	up	down	down
238497_at	TMEM136	8.10E-04	down	down	down
222173_s_at	TBC1D2	8.11E-04	up	down	down
233482_at		8.11E-04	up	down	down
209235_at	CLCN7	8.11E-04	up	up	down
203710_at	ITPR1	8.11E-04	down	up	up
202552_s_at	CRIM1	8.12E-04	down	down	up
239726_at		8.13E-04	down	down	down
1557883_a_at		8.14E-04	up	up	up
1560373_a_at		8.16E-04	down	down	up
212275_s_at	SRCAP	8.16E-04	up	up	down
242781_at	CXorf39	8.16E-04	up	up	down
204964_s_at	SSPN	8.16E-04	up	up	down
243848_at		8.17E-04	up	down	down
225963_at	KLHDC5	8.17E-04	up	down	down
222749_at	SUFU	8.17E-04	up	up	down
221714_s_at	LOC730092	8.17E-04	up	down	down
232357_at	TTLL9	8.19E-04	down	up	up
1554062_at	XG	8.19E-04	up	up	up
219553_at	NME7	8.21E-04	down	up	up
203960_s_at	HSPB11	8.24E-04	down	down	up
220016_at	AHNAK	8.24E-04	up	up	up
215834_x_at	SCARB1	8.26E-04	up	down	down
233191_at	RUFY2	8.28E-04	down	down	up
236134_at	WDR68	8.28E-04	up	down	down
204321_at	NEO1	8.28E-04	down	up	up
226337_at	GORAB	8.29E-04	down	down	up
203863_at	ACTN2	8.30E-04	down	down	down
242586_at	FSD1L	8.30E-04	down	up	up
243988_at		8.30E-04	up	up	up
200677_at	PTTG1IP	8.30E-04	down	up	up
202524_s_at	SPOCK2	8.30E-04	up	up	down
225377_at	C9orf86	8.30E-04	up	up	down
227940_at	LOC339803	8.31E-04	down	up	up
214597_at	SSTR2	8.32E-04	up	down	down
201958_s_at	PPP1R12B	8.33E-04	down	up	up
204524_at	PDPK1	8.34E-04	up	down	down
1553672_at	ENAH	8.38E-04	down	up	up
1569108_a_at	ZNF589	8.38E-04	up	down	down
211451_s_at	KCNJ4	8.38E-04	down	down	down
217084_at	IGHA1 /// IGHG1 /// IGHM /// IGHV3-23 /// IGHV4-31	8.38E-04	up	up	down
209021_x_at	KIAA0652	8.38E-04	down	down	down
226565_at	TMEM99	8.38E-04	down	up	up
229243_at		8.38E-04	up	up	up
230364_at	CHPT1	8.40E-04	up	down	down
229918_at	CCDC40	8.40E-04	down	up	up
221163_s_at	MLXIPL	8.42E-04	up	down	down
205333_s_at	RCE1	8.47E-04	up	down	down
212517_at	ATRN	8.47E-04	down	down	down
224253_at	EXOC5	8.48E-04	down	up	up
200603_at	PRKAR1A	8.48E-04	down	down	up
203560_at	GGH	8.48E-04	up	up	up
216460_at	FLJ00049	8.52E-04	up	up	down
231871_at	GPR180	8.53E-04	down	down	up
209057_x_at	CDC5L	8.53E-04	down	up	up
220425_x_at	ROPN1B	8.53E-04	down	up	up
210972_x_at	TRA@ /// TRAC /// TRAJ17 /// TRAV20	8.53E-04	up	up	up
236866_at	GALNS	8.53E-04	down	up	up
225459_at	AMOTL1	8.54E-04	down	down	up
202574_s_at	CSNK1G2	8.55E-04	up	down	down
221015_s_at	CDADC1	8.55E-04	down	up	up
222956_at	FIGN	8.55E-04	up	up	up
229067_at	SRGAP2P1	8.56E-04	down	up	up
211685_s_at	NCALD	8.56E-04	up	up	up
213311_s_at	TCF25	8.57E-04	up	up	down
209050_s_at	RALGDS	8.57E-04	up	up	down
1559265_at	C10orf140	8.58E-04	down	up	up
229014_at	FLJ42709	8.58E-04	up	up	up
213542_at	ZNF710	8.58E-04	up	down	down
238762_at	MTHFD2L	8.58E-04	down	up	up
228342_s_at	ALPK3	8.58E-04	down	up	up
207265_s_at	KDELR3	8.59E-04	down	down	up
227665_at		8.59E-04	down	down	down
206308_at	TRDMT1	8.59E-04	down	up	up
230394_at	TCP10L	8.61E-04	up	up	up
1565804_at		8.62E-04	down	up	up
222392_x_at	PERP	8.63E-04	up	up	up
219027_s_at	MYO9A	8.64E-04	up	up	up
205591_at	OLFM1	8.66E-04	up	down	down
212714_at	LARP4	8.66E-04	down	down	down
233785_at	ADAMTS9	8.67E-04	up	up	down
1560087_a_at		8.67E-04	up	up	down
207425_s_at	9-Sep	8.68E-04	up	down	down
232508_at	ZMIZ1	8.68E-04	up	down	down
207180_s_at	HTATIP2	8.69E-04	down	down	down
204130_at	HSD11B2	8.69E-04	up	up	up
235512_at	CDKL1	8.70E-04	down	up	up
217289_s_at	SLC37A4	8.73E-04	down	down	down
226662_at	STX17	8.74E-04	down	up	up
205357_s_at	AGTR1	8.75E-04	down	up	up
1555282_a_at	PPARGC1B	8.76E-04	up	down	down
203333_at	KIFAP3	8.78E-04	down	down	up
1557417_s_at	RSPH10B /// RSPH10B2	8.78E-04	down	up	up
233439_at	LETM1	8.81E-04	up	up	down
228526_at	NANOS1	8.82E-04	up	up	up
203659_s_at	TRIM13	8.82E-04	down	up	up
232414_at	HEATR1	8.83E-04	down	up	up
224847_at	CDK6	8.83E-04	down	down	up
213739_at		8.84E-04	down	down	down
223654_s_at	BRUNOL4	8.84E-04	up	down	down
214130_s_at	PDE4DIP	8.85E-04	up	up	up
1555006_at	WDR66	8.86E-04	down	up	up
243599_at		8.86E-04	up	down	down
224860_at	C9orf123	8.87E-04	down	up	up
206214_at	PLA2G7	8.89E-04	down	down	down
242206_at		8.89E-04	down	down	down
202188_at	NUP93	8.89E-04	down	up	up
240161_s_at	CDC20B	8.89E-04	down	up	up
1556312_at	C2orf71	8.89E-04	down	up	up
213959_s_at	RPGRIP1L	8.92E-04	down	up	up
236923_x_at		8.93E-04	down	up	up
216680_s_at	EPHB4	8.94E-04	up	down	down
222301_at	C1orf61	8.94E-04	up	down	down
231232_at		8.94E-04	up	up	up
237548_at		8.96E-04	up	up	down
244788_at		8.96E-04	up	up	up
230889_at		8.97E-04	down	down	down
219688_at	BBS7	8.98E-04	down	down	up
223735_at	ARL6	8.98E-04	down	down	up
223334_at	TMEM126A	9.01E-04	down	down	up
223523_at	TMEM108	9.01E-04	down	up	up
230047_at	FLJ32810	9.01E-04	down	down	down
1555303_at		9.02E-04	up	down	down
228885_at	MAMDC2	9.05E-04	down	down	up
219644_at	CCDC41	9.05E-04	down	up	up
228402_at	ZBED3	9.05E-04	up	up	up
215783_s_at	ALPL	9.06E-04	up	down	down
210602_s_at	CDH6	9.09E-04	down	down	up
237945_at		9.09E-04	up	down	down
202996_at	POLD4	9.09E-04	up	up	down
201300_s_at	PRNP	9.09E-04	up	up	up
213726_x_at	TUBB2C	9.09E-04	down	up	up
223335_at	TMEM69	9.10E-04	down	up	up
215443_at	TSHR	9.10E-04	down	down	down
218397_at	FANCL	9.14E-04	down	down	up
206450_at	DBH	9.14E-04	up	up	down
236346_at		9.14E-04	up	down	down
223320_s_at	ABCB10	9.14E-04	down	down	up
231133_at	C2orf39	9.15E-04	down	up	up
208798_x_at	GOLGA8A	9.16E-04	up	up	up
201131_s_at	CDH1	9.16E-04	down	down	up
209448_at	HTATIP2	9.16E-04	down	down	down
223623_at	C2orf40	9.17E-04	down	up	up
221448_s_at	TEX15	9.18E-04	down	down	up
218769_s_at	ANKRA2	9.18E-04	down	down	up
223245_at	STRBP	9.19E-04	down	up	up
233971_at	FAM166A	9.19E-04	down	up	up
231102_at	CROT	9.20E-04	down	down	down
1554065_at	FAM125B	9.21E-04	up	up	down
233960_s_at	LOC115110	9.21E-04	up	down	down
242230_at	ATXN1	9.21E-04	down	up	up
219078_at	GPATCH2	9.21E-04	down	up	up
228758_at	BCL6	9.21E-04	up	up	down
227934_at	KPNA5	9.22E-04	down	down	down
210128_s_at	LTB4R	9.23E-04	up	up	up
209446_s_at	C7orf44	9.23E-04	up	up	up
229405_at	KIF7	9.23E-04	up	down	down
205734_s_at	AFF3	9.23E-04	up	up	up
236941_at	C22orf30	9.24E-04	up	up	down
203309_s_at	HPS1	9.24E-04	down	down	down
230210_at	UNC84A	9.26E-04	down	up	up
226778_at	C8orf42	9.26E-04	down	up	up
231859_at	C14orf132	9.26E-04	up	down	down
219332_at	MICALL2	9.27E-04	up	down	down
210212_x_at	MTCP1NB	9.28E-04	down	up	up
231831_at	COX19	9.28E-04	up	down	down
1553703_at	ZNF791	9.29E-04	up	down	down
238614_x_at	ZNF430	9.29E-04	down	down	down
1559950_at	FAM66C /// FAM66D	9.30E-04	down	up	up
200872_at	S100A10	9.30E-04	down	up	up
205630_at	CRH	9.30E-04	down	down	down
238360_s_at		9.32E-04	up	down	down
204297_at	PIK3C3	9.32E-04	up	up	up
1560259_at		9.33E-04	up	up	up
232244_at	KIAA1161	9.34E-04	down	up	up
213052_at	PRKAR2A	9.35E-04	up	up	up
228949_at	GPR177	9.35E-04	up	up	up
222924_at	SLMAP	9.35E-04	up	up	up
228910_at		9.35E-04	up	down	down
213069_at	HEG1	9.36E-04	down	down	up
210754_s_at	LYN	9.36E-04	down	down	down
222126_at	AGFG2	9.37E-04	up	up	up
202599_s_at	NRIP1	9.38E-04	down	down	down
203883_s_at	RAB11FIP2	9.38E-04	down	down	down
204797_s_at	EML1	9.38E-04	down	up	up
229866_at		9.38E-04	up	up	up
243052_at	MOBKL2C	9.38E-04	up	down	down
212555_at	LOC729623 /// PRKAR1B	9.38E-04	up	down	down
1556220_at		9.38E-04	down	up	up
233168_s_at	RP3-402G11.5	9.38E-04	up	up	down
1556641_at	SLC7A14	9.39E-04	up	down	down
207798_s_at	ATXN2L	9.40E-04	up	down	down
222550_at	ARMC1	9.40E-04	down	down	up
224044_at	RHOT1	9.41E-04	down	down	down
205575_at	C1QL1	9.41E-04	up	up	down
203866_at	NLE1	9.41E-04	down	down	down
1555765_a_at	GNG4	9.41E-04	down	up	up
1552326_a_at	CCDC11	9.42E-04	down	up	up
230395_at		9.42E-04	up	up	down
222020_s_at	NTM	9.42E-04	up	up	down
201621_at	NBL1	9.43E-04	up	down	down
1557406_s_at	LOC283697	9.44E-04	up	up	down
215141_at	C4orf10	9.44E-04	up	up	down
226206_at	MAFK	9.45E-04	down	down	down
204763_s_at	GNAO1	9.45E-04	up	down	down
206718_at	LMO1	9.45E-04	up	down	down
231332_at		9.46E-04	down	down	down
242641_at		9.46E-04	down	up	up
204359_at	FLRT2	9.47E-04	up	down	down
222184_at		9.48E-04	down	up	up
238743_at		9.49E-04	down	down	up
1569383_s_at	ZFYVE28	9.49E-04	up	down	down
225176_at		9.49E-04	down	down	down
208946_s_at	BECN1	9.49E-04	down	down	down
240870_at		9.50E-04	up	down	down
235134_at		9.51E-04	down	up	up
216518_at		9.52E-04	down	down	up
203787_at	SSBP2	9.52E-04	down	up	up
241728_at		9.52E-04	down	up	up
238834_at	MYLK3	9.52E-04	down	up	up
1555716_a_at	CXADR	9.53E-04	down	down	up
200844_s_at	PRDX6	9.53E-04	down	up	up
216322_at	CD58	9.54E-04	down	up	up
215314_at		9.55E-04	down	down	down
201204_s_at	RRBP1	9.55E-04	up	up	up
201784_s_at	C11orf58	9.55E-04	down	up	up
212288_at	FNBP1	9.56E-04	up	up	up
202703_at	DUSP11	9.57E-04	down	down	up
214799_at	NFASC	9.58E-04	up	up	down
222901_s_at	KCNJ16	9.58E-04	down	down	up
222612_at	PSPC1	9.58E-04	down	down	down
220251_at	C1orf107	9.58E-04	down	up	up
1569078_at	RNF213	9.59E-04	down	up	up
214951_at	SLC26A10	9.60E-04	up	down	down
202092_s_at	ARL2BP	9.60E-04	down	up	up
231045_x_at	C11orf31	9.62E-04	down	down	up
223074_s_at	AIF1L	9.62E-04	up	down	down
205991_s_at	PRRX1	9.62E-04	down	down	down
236630_at	AQP2	9.62E-04	up	up	down
226597_at	REEP6	9.62E-04	up	up	down
219297_at	WDR44	9.63E-04	down	down	up
204512_at	HIVEP1	9.64E-04	down	down	up
244663_at		9.64E-04	down	down	up
234295_at	DBR1	9.64E-04	down	down	up
224496_s_at	TMEM107	9.64E-04	down	up	up
1561123_at		9.65E-04	up	down	down
1564653_s_at	LEKR1	9.66E-04	down	up	up
228194_s_at	SORCS1	9.67E-04	up	down	down
241954_at	FDFT1	9.68E-04	up	down	down
230230_at		9.68E-04	down	down	up
203646_at	FDX1	9.68E-04	down	up	up
200786_at	PSMB7	9.68E-04	down	up	up
233487_s_at	LRRC8A	9.68E-04	up	up	down
243283_at		9.70E-04	down	down	down
202409_at	IGF2 /// INS-IGF2	9.72E-04	up	down	down
231565_at	C4orf22	9.72E-04	down	up	up
229448_at	LASS1	9.72E-04	up	up	up
220686_s_at	PIWIL2	9.73E-04	up	up	down
203077_s_at	SMAD2	9.73E-04	down	up	up
1561073_at		9.73E-04	up	up	up
233071_at	RSPH4A	9.73E-04	down	up	up
235228_at	CCDC85A	9.74E-04	up	up	up
205063_at	SIP1	9.75E-04	down	down	up
230019_s_at	PTCHD2	9.76E-04	up	down	down
204267_x_at	PKMYT1	9.76E-04	up	up	down
222757_s_at	ZAK	9.77E-04	up	up	up
218297_at	C10orf97	9.80E-04	down	down	up
207496_at	MS4A2	9.80E-04	down	up	up
212824_at	FUBP3	9.80E-04	down	up	up
206912_at	FOXE1	9.80E-04	down	up	up
239527_at	RAB3GAP1	9.80E-04	down	up	up
223574_x_at	PPP2R2C	9.82E-04	up	down	down
225845_at	ZBTB44	9.82E-04	down	down	down
235812_at	TMEM188	9.84E-04	down	down	up
206447_at	CELA2A	9.86E-04	up	up	down
217797_at	UFC1	9.86E-04	down	up	up
212724_at	RND3	9.87E-04	down	down	down
212715_s_at	MICAL3	9.90E-04	down	up	up
236896_at	ZIC1	9.90E-04	up	up	up
209982_s_at	NRXN2	9.94E-04	up	down	down
209625_at	PIGH	9.94E-04	down	down	down
202128_at	KIAA0317	9.94E-04	up	down	down
1553179_at	ADAMTS19	9.94E-04	down	down	down
204058_at	ME1	9.94E-04	down	down	up
232204_at	EBF1	9.94E-04	up	up	up
243367_at		9.94E-04	up	up	up
236421_at	ANKRD45	9.94E-04	down	up	up
225411_at	TMEM87B	9.96E-04	down	down	down
224443_at	C1orf97	9.96E-04	down	up	up
228202_at	PLN	9.97E-04	up	up	up
242140_at		9.98E-04	down	down	up
212458_at	SPRED2	9.98E-04	down	down	down
206554_x_at	SETMAR	9.98E-04	down	up	up
220161_s_at	EPB41L4B	9.98E-04	down	down	down
229073_at	PRTG	9.99E-04	down	up	up
