Top	miRNA	known target
MLL-1	hsa-let-7b	RAS(283), c-MYC, HMGA2(1), IMP-1
MLL-2	hsa-let-7c	RAS(283), c-MYC, HMGA2(1), IMP-1
MLL-3	hsa-miR-708	unknown
MLL-4	hsa-miR-192	ZEB2(7)
MLL-5	hsa-miR-196a	HOXB8(67), HOXC8(1), HOXD8, HMGA2(23), ANXA1
MLL-6	hsa-miR-194	unknown
MLL-7	hsa-miR-497	unknown
MLL-8	hsa-miR-20b	MYLIP(891), RBP1
MLL-9	hsa-miR-133a	UCP2, UCP3
MLL-10	hsa-miR-372	LATS2(4), CD44(56)
TEL-AML1-1	hsa-miR-213	unknown
TEL-AML1-2	hsa-miR-99a	unknown
TEL-AML1-3	hsa-miR-100	unknown
TEL-AML1-4	hsa-miR-125b	IRF4(12), PRDM1(124), ERBB2, ERBB3, SMO
TEL-AML1-5	hsa-miR-126	unknown
TEL-AML1-6	hsa-miR-383	unknown
TEL-AML1-7	hsa-miR-221	Kit(5), CDKN1B(6), CDKN1C(218)
TEL-AML1-8	hsa-miR-126	PLK2(13), HOXA9
TEL-AML1-9	hsa-miR-629	unknown
TEL-AML1-10	hsa-miR-361-5p	unknown
BCR-ABL-1	hsa-miR-93	CDKN1A(383), BCL2L11(733), TP53INP1(369), E2F1 (529)
BCR-ABL-2	hsa-miR-484	unknown
BCR-ABL-3	hsa-miR-331	unknown
BCR-ABL-4	hsa-miR-103	unknown
BCR-ABL-5	hsa-miR-1226	unknown
BCR-ABL-6	hsa-miR-345	unknown
BCR-ABL-7	hsa-miR-210	RAD52
BCR-ABL-8	hsa-miR-301	unknown
BCR-ABL-9	hsa-miR-324-5p	SMO, GLI1
BCR-ABL-10	hsa-miR-148b	DNMT3B
E2A-PBX1-1	hsa-miR-126	unknown
E2A-PBX1-2	hsa-miR-126	PLK2(13), HOXA9
E2A-PBX1-3	hsa-miR-146a	IRAK1(3), TRAF1
E2A-PBX1-4	hsa-miR-545	unknown
E2A-PBX1-5	hsa-miR-24	CDKN2A, ALK2, ALK4, DHFR
E2A-PBX1-6	hsa-miR-29a	DNMT3A(294), DNMT3B(132), BACE1(750), TTP
E2A-PBX1-7	hsa-miR-511	unknown
E2A-PBX1-8	hsa-miR-365	unknown
E2A-PBX1-9	hsa-miR-30d	unknown
E2A-PBX1-10	hsa-miR-193a	E2F6(20), Ptk2, MCL1(32)
hyperdiploid-1	hsa-miR-223	NFIA(52), LMO2(61)
hyperdiploid-2	hsa-miR-222	unknown
hyperdiploid-3	hsa-miR-98	HMGA2(1)
hyperdiploid-4	hsa-miR-511	unknown
hyperdiploid-5	hsa-miR-222	c-KIT(5), CDKN1B(6), CDKN1C(218)
hyperdiploid-6	hsa-miR-660	unknown
hyperdiploid-7	hsa-miR-361-3p	unknown
hyperdiploid-8	hsa-miR-374a	unknown
hyperdiploid-9	hsa-miR-532-5p	unknown
hyperdiploid-10	hsa-miR-501-5p	unknown
T-ALL-1	hsa-miR-191	unknown
T-ALL-2	hsa-miR-190	unknown
T-ALL-3	hsa-miR-151	unknown
T-ALL-4	hsa-miR-425-5p	unknown
T-ALL-5	hsa-miR-222	unknown
T-ALL-6	hsa-miR-542-5p	unknown
T-ALL-7	hsa-miR-708	unknown
T-ALL-8	hsa-miR-132	unknown
T-ALL-9	hsa-miR-425-3p	unknown
T-ALL-10	hsa-miR-342-3p	unknown
