Curated Gene Symbol	Gene symbol	Gene name	BayesianP	Mean expression fold change	Gene class
B2M	B2M	beta2-microglobulin	3.69E-01	2.50E+00	INTER
SCP2	SCP2	Sterol carrier protein 2	4.79E-01	1.81	INTER
DDOST	DDOST	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase	5.68E-01	1.79	INTER
NPTN	NPTN	Neuroplastin	8.49E-01	1.39	INTER
TAP2	TAP2	Transporter 2 ATP-binding cassette subfamily B	6.92E-01	1.39	INTER
DNAJA3	DNAJA3	DnaJ (hsp40) homologue subfamily A, member 3	6.48E-01	1.25	INTER
ANKS1B	ANKS1b	Ankyrin repeat and sterile ? motif domain containing 1b	5.17E-01	-1.21	LOWER
		DKFZp434M083	5.68E-01	-1.22	LOWER
ANK3	ANK3	Ankyrin 3 node of Ranvier	9.07E-02	-1.93	LOWER
