Symbol	Name	ratio F-Nint / F- N^lo	Function: GO terms/Pathways
Itga2b	integrin alpha 2b	3.03	adhesion & signaling: receptor activity, integrin-mediated signaling pathway, hematopoietic cell lineage.
Slc22a3	solute carrier family 22 (organic cation transporter), member 3	2.9	organic cation transporter: sodium ion transport
Ndrg1	N-myc downstream regulated gene 1	2.47	stress response factor: cell differentiation, alpha/beta hydrolase, mast cell activation
Muc13	mucin 13, epithelial transmembrane	2.31	defense response:
Dach1	dachshund 1 (Drosophila)	2.08	nuclear factor: development, transcription factor complex
Dlg3	discs, large homolog 3 (Drosophila)	2.08	membrane-associated guanylate kinase: negative regulation of cell proliferation (human), guanylate kinase activity (human)
Ddef2	Development and differentiation enhancing factor 2	1.93	ADP ribosylation factor GTPase-activating protein: integrin-mediated signaling pathway, enzyme activator activity
Lphn1	latrophilin 1	1.87	adhesion & signaling :receptor activity
9030425L15Rik	RIKEN cDNA 9030425L15 gene	1.87	unknown:
Timp2	tissue inhibitor of metalloproteinase 2	1.81	inhibitor of the matrix metalloproteinases: development, cell differentiation, negative regulation of cell proliferation, enzyme activator activity,
Rbpms	RNA binding protein gene with multiple splicing	1.78	RNA binding:
