EntrezGene.ID	HUGO.gene.symbol	agilent	affy	coefficient	NMSE
7422	VEGFA	NM_003376	211527_x_at	1	0
911	CD1C	NM_001765	205987_at	-0.3	0.88
4005	LMO2	NM_005574	204249_s_at	-0.35	0.88
4222	MEOX1	NM_013999	205619_s_at	-0.35	0.88
29927	SEC61A1	NM_013336	217716_s_at	0.35	0.89
6166	RPL36AL	NM_001001	207585_s_at	-0.34	0.89
9450	LY86	NM_004271	205859_at	-0.29	0.91
22900	CARD8	NM_014959	204950_at	-0.3	0.91
1776	DNASE1L3	NM_004944	205554_s_at	-0.3	0.92
1119	CHKA	NM_001277	204233_s_at	0.29	0.92
22809	ATF5	NM_012068	204999_s_at	0.22	0.94
23417	MLYCD	NM_012213	218869_at	-0.24	0.94
23592	LEMD3	NM_014319	218604_at	-0.27	0.95
51621	KLF13	NM_015995	219878_s_at	0.24	0.95
