GeneSymbol	GeneName	Function
ECM2	Extracellular Matrix Protein 2	Extracellular Matrix
FN1	Fibronectin 1	Extracellular Matrix
GPC4	Glypican 4	Extracellular Matrix
CSPG2	Chondroitin sulfate proteoglycan 2	Extracellular Matrix
LTBP1	Latent TGFbeta binding protein 1	Extracellular Matrix
DDIT4	DNA-damage-inducible transcript 4	Cell Signalling
TM4SF1	Transmembrane 4 superfamily member 1	Cell Signalling
AGTR1	Angiotensin II receptor, type I	Cell Signalling
MIG-6	Mitogen-inducible gene 6	Cell Growth/Development
URB	Steroid-sensitive gene 1	Cell Growth/Development
ID1	Inhibitor of DNA binding 1	Transcription Regulatory Protein
NFIB	Nuclear factor I/B	Transcription Regulatory Protein
DSIPI	Delta sleep-inducing peptide	Transcription Regulatory Protein
HOXA5	Homeobox protein HOX-A5	Transcription Regulatory Protein
HOXB6	Homeobox protein HOX-B6	Transcription Regulatory Protein
DLGAP1	Discs, large homolog-associated protein 1	Transcription Regulatory Protein
