Entrez	Name	Title
226	ALDOA	Aldolase A, fructose-bisphosphate
527	ATP6V0C	ATPase, H+ transporting
533	ATP6V0B	ATPase, H+ transporting
537	ATP6AP1	ATPase, H+ transporting
9296	ATP6V1F	ATPase, H+ transporting
1717	DHCR7	7-Dehydrocholesterol reductase
2805	GOT1	Glutamic-oxaloacetic transaminase 1
2821	GPI	Glucose phosphate isomerase
3856	KRT8	Keratin 8
4282	MIF	Macrophage migration inhibitory factor
5050	PAFAH1B3	Platelet-activating factor acetylhydrolase
5211	PFKL	Phosphofructokinase, liver
5476	PPGB	Protective protein for beta-galactosidase
5518	PPP2R1A	Protein phosphatase 2
5531	PPP4C	Protein phosphatase 4
5863	RGL2	Ral guanine nucleotide dissociation stimulator-like 2
7529	YWHAB	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase
10043	TOM1	Target of myb1
10103	TSPAN1	Tetraspanin 1
10383	TUBB2C	Tubulin, beta 2C
