Gene	Running enrichment score	Core enrichment
GIMAP6	0.0992	YES
CD52	0.178	YES
CLEC2B	0.254	YES
NRIP1	0.305	YES
CRHBP	0.36	YES
H1F0	0.415	YES
MMRN1	0.448	YES
ZFAND3	0.478	YES
TIPARP	0.516	YES
MLLT3	0.53	YES
SPINK2	0.55	YES
ROBO4	0.572	YES
GUCY1B3	0.602	YES
HOXB6	0.61	YES
BST2	0.627	YES
COX6B1	0.577	NO
HIST1H1C	0.586	NO
MPL	0.561	NO
GPC5	0.555	NO
CYBRD1	0.516	NO
GUCY1A3	0.503	NO
KLF2	0.504	NO
HIST1H2BG	0.447	NO
HIST1H2AE	0.355	NO
RHOQ	0.345	NO
NPR3	0.335	NO
HLA-E	0.315	NO
C5ORF23	0.308	NO
C4ORF18	0.278	NO
HOXB3	0.278	NO
TEAD2	0.194	NO
PGM5	0.2	NO
PCDH9	0.148	NO
BIRC3	0.158	NO
ATP8B4	0.0388	NO
