Clone ID	Symbol	Position
768064	CYP1A1	15q24
1492412	UBA52	19p13
809578	RPS5	19q13
392622	ATP5B	12q13
810854	RPP30	10q23
549101	RPL19	17q12
240651	UTX	Xp11
302933	FLJ22678	2q35
322561	RPL31	2q11
837904	RPL15	3p24
1492147	RPS4X	Xq13
502486	TANK	2q24
857243	RPS13	11p15
713263	PNOC	8p21
377468	SPRY1	4q27
309864	JUNB	19p13
810632	COL6A2	21q22
433544	ESTs	5q31
184240	ESTs	17q21
768377	ADNP	20q13
66718	RAD54L	22q13
44351	MCF2	Xq27
