HUGO Name	GB. Accession	Cases
SFRP2	AF311912	23
COL11A1	NM_001854	23
PDGFRL	NM_006207	20
MMP2	NM_004530	20
CTSK	NM_000396	20
MMP7	NM_002423	20
ASPN	NM_017680	20
ITGBL1	NM_004791	19
OSF-2	NM_006475	19
COL6A1	NM_001848	18
FMO1	NM_002021	18
COL5A2	NM_000393	18
HTRA3	AY040094	17
SPOCK	NM_004598	17
LUM	NM_002345	17
SPON1	AB018305	17
CILP	NM_003613	17
PTPRC	NM_002838	17
LGALS1	NM_002305	16
AL359052	16
PRSS11	NM_002775	16
OGN	NM_033014	16
ECM1	NM_004425	16
STEAP	NM_012449	16
SNAI2	BC014890	15
FN1	NM_002026	15
TNFAIP6	NM_007115	15
COL1A2	NM_000089	15
COL3A1	NM_000090	15
FBN1	NM_000138	15
CCL8	Y16645	15
CALU	NM_001219	15
CSPG2	U16306	15
GPNMB	NM_002510	15
RUNX2	AW469546	14
GRP	NM_002091	14
AK022342	14
PCOLCE	NM_002593	14
TGFB3	NM_003239	14
COL5A1	NM_000093	14
CDC45L	NM_003504	14
KRT14	NM_000526	14
CTHRC1	BC014245	14
RAFTLIN	D42043	14
MRC2	NM_006039	14
RIS1	AF438313	14
CORO1A	NM_007074	14
FCGR3A	J04162	14
FOXO1A	NM_002015	14
CR2	NM_001877	14
TXNIP	NM_006472	14
CD48	NM_001778	14
TRA@	M12959	14
PDK4	AF334710	14
ABCC1	NM_004996	14
PRG1	NM_002727	14
CKTSF1B1	NM_013372	14
HSPC022	NM_014029	14
