Affymetrix ID	Accession	Gene Symbol	Gene Description
1553602_at	NM_058173	LOC118430	small breast epithelial mucin
204655_at	NM_002985	CCL5	chemokine (C-C motif) ligand 5
205767_at	NM_001432	EREG	epiregulin
206100_at	NM_001874	CPM	carboxypeptidase M
209083_at	U34690	CORO1A	coronin, actin binding protein, 1A
209505_at	AI951185	NR2F1	nuclear receptor subfamily 2, group F, member 1
214454_at	NM_014244	ADAMTS2	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2
224973_at	AL078599	C6orf37	Human DNA sequence from clone RP5-991C6 on chromosome 6q14.1-15, complete sequence.
228335_at	AW264204	CLDN11	xq97e11.x1 NCI_CGAP_Brn53 Homo sapiens cDNA clone IMAGE:2758604 3, mRNA sequence.
241849_at	BE674703	---	7e94e04.x1 NCI_CGAP_CLL1 Homo sapiens cDNA clone IMAGE:3292830 3 similar to contains Alu repetitive element;contains element MIR repetitive element ;, mRNA sequence.
