UniGene cluster ID	GenBank accession number	Gene title	Gene symbol	Fold change	Function
Hs.624	NM_000584.1	Interleukin 8	IL8	-9.19	Pro-angiogenesis
Hs.164226	AV726673	Thrombospondin 1	THBS1	-6.15	Anti-angiogenesis
Hs.356076	AW675725	Baculoviral IAP repeat-containing 4	BIRC4	-4	Anti-apoptosis
Hs.500466	AK021487.1	Phosphatase and tensin homolog	PTEN	55.72	Pro-apoptosis
Hs.450230	M31159.1	Insulin-like growth factor binding protein 3	IGFBP3	6.64	Pro-apoptosis
Hs.104925	NM_003633.1	Ectodermal-neural cortex (with BTB-like domain)	ENC1	4	Pro-proliferation
Hs.646364	NM_006533.1	Melanoma inhibitory activity	MIA	-4.59	Pro-proliferation
Hs.646346	NM_000820.1	Growth arrest-specific 6	GAS6	-5.66	Pro-proliferation
Hs.500466	AK021487.1	Phosphatase and tensin homolog	PTEN	55.72	Anti-proliferation
