Count	UpEarly,UpLate,DownLate	ProbeID	Symbol
1	dl	200801_x_at	ACTB
2	dl	208637_x_at	ACTN1
3	ul	203382_s_at	APOE
4	dl	219918_s_at	ASPM
5	ul	205363_at	BBOX1
6	ue	221478_at	BNIP3L
7	dl	218542_at	C10orf3
8	ul	213508_at	C14orf147
9	dl	218456_at	C1QDC1
10	dl	209714_s_at	CDKN3
11	dl	204170_s_at	CKS2
12	ul	209283_at	CRYAB
13	ul	205595_at	DSG3
14	dl	204014_at	DUSP4
15	ue	201842_s_at	EFEMP1
16	ue	201694_s_at	EGR1
17	dl	214805_at	EIF4A1
18	ue	219599_at	EIF4B
19	dl	203499_at	EPHA2
20	dl	205014_at	FGFBP1
21	ue	206857_s_at	FKBP1B
22	dl	218349_s_at	FLJ10036
23	ue	218361_at	GOLPH3L
24	ue	219093_at	FLJ20701
25	ue	218880_at	FOSL2
26	dl	202580_x_at	FOXM1
27	ul	201141_at	GPNMB
28	ue	200696_s_at	GSN
29	dl	218663_at	HCAP-G
30	ue	202718_at	IGFBP2
31	ue	203494_s_at	PIG8
32	de	212197_x_at	M-RIP
33	ul	218559_s_at	MAFB
34	ul	213287_s_at	KRT10
35	ue	209894_at	LEPR
36	ue	219188_s_at	LRP16
37	de	208433_s_at	LRP8
38	dl	200790_at	ODC1
39	de	217997_at	PHLDA1
40	ue	203407_at	PPL
41	ue	204547_at	RAB40B
42	dl	209773_s_at	RRM2
43	ue	212698_s_at	10-Sep
44	ul	202376_at	SERPINA3
45	dl	212190_at	SERPINE2
46	de	201920_at	SLC20A1
47	ul	201416_at	SOX4
48	ue	213667_at	SRCAP
49	ue	204675_at	SRD5A1
50	dl	204092_s_at	STK6
51	ue	212459_x_at	SUCLG2
52	ul	212386_at	TCF4
53	de	201109_s_at	THBS1
54	dl	206467_x_at	TNFRSF6B
55	dl	204033_at	TRIP13
56	dl	201714_at	TUBG1
57	dl	203856_at	VRK1
58	ue	219001_s_at	WDR32
59	ue	218645_at	ZNF277
60	de	222108_at
