Systematic	Parental	Resistant	Common	Genbank
237671_at	1.78	0.499	RAD51L1	AW450288
242068_at	1.411	0.404	GK	AA608834
1569041_at	1.648	0.473	ALB	BC035102
233105_at	1.697	0.5		AK026280
239243_at	1.648	0.487	NP_220	AA279654
242737_at	1.851	0.553	RAD51L1	AW293315
244791_at	1.794	0.542		AA835936
1570130_at	1.91	0.586	SPATS2	BC032441
240141_at	1.909	0.586	FLJ14154	BF062399
1570143_at	1.57	0.49	CYLN2	BC014363
240625_at	1.395	0.441	UBE2E3	AW511032
241681_at	1.354	0.428	MBNL1	AW296451
211445_x_at	2.035	0.644	FKSG17	AF315951
238970_at	1.476	0.47	VPS16	BF509781
234032_at	1.531	0.491	SP1	AF119847
243031_at	1.445	0.466	RTN4	N90377
1552536_at	1.529	0.494	VTI1A	NM_145206
212907_at	1.423	0.467	SLC30A1	AI972416
243827_at	1.601	0.527	ARSB	AL038125
236000_s_at	1.561	0.515	HNRPD	AA863112
224237_at	1.615	0.535		AF119880
244154_at	2.089	0.697	DDHD1	AI751130
243054_at	1.796	0.602	ZMYND11	BF196963
215578_at	1.341	0.45	GPHN	AU145365
235786_at	1.526	0.512	BCR	AI806781
232307_at	1.583	0.534	TMEM123	AK021554
225239_at	1.784	0.602		AI355441
215123_at	1.518	0.513	KIAA0220	AL049250
243736_at	1.659	0.569	C9orf25	H88339
238070_at	1.587	0.545	CHD1L	AA573217
239348_at	1.917	0.661	USP31	AI285970
1559391_s_at	1.512	0.522	B2M	AI084451
239227_at	1.94	0.672	SPSB1	AW182675
1556055_at	1.509	0.524	ATP11A	U90905
233231_at	1.536	0.533	MCCC2	AU156915
1559964_at	1.432	0.5	FLJ38717; FLJ40915	AK096036
238883_at	1.453	0.507	TMEM123	AW975051
239571_at	1.59	0.555	MBP	AI123399
1556416_s_at	1.524	0.533	SEC31L1	AF086242
232528_at	1.585	0.557	UBE2E3	AI338705
244699_at	1.505	0.532	AHI1	AV658469
235730_at	1.614	0.573		AA830545
236978_at	1.626	0.581	THRAP1	N51961
243088_at	1.453	0.521	KRIT1	W84667
1570151_at	1.491	0.536	TGFBI	BC013779
