EntrezGene.ID	HUGO.gene.symbol	agilent	affy	coefficient	NMSE
836	CASP3	NM_004346	202763_at	1	0
10393	ANAPC10	NM_014885	207845_s_at	0.36	0.9
7738	ZNF184	U66561	213452_at	0.29	0.91
3728	JUP	NM_002230	201015_s_at	-0.27	0.92
8237	USP11	NM_004651	208723_at	-0.29	0.93
402	ARL2	NM_001667	202564_x_at	-0.26	0.94
25978	CHMP2B	NM_014043	202536_at	0.27	0.94
6301	SARS	NM_006513	200802_at	-0.25	0.94
55361	NA	AL353952	209346_s_at	-0.24	0.94
5977	DPF2	NM_006268	202116_at	-0.22	0.95
