Symbol	Name	Fold WT	Fold P132L	Category
Trf	transferrin	-1.5	-2	Common Downregulated Genes
Kng1	kininogen 1	-1.5	-1.6	Common Downregulated Genes
Igfbp5	insulin-like growth factor binding protein 5	-1.5	-1.7	Common Downregulated Genes
Rhox5	reproductive homeobox 5	-1.8	-1.5	Common Downregulated Genes
Csn3	casein kappa	-1.9	-1.5	Common Downregulated Genes
Elf5	E74-like factor 5	-2.3	-2.4	Common Downregulated Genes
Cspg3	chondroitin sulfate proteoglycan 3	-2.9	-3.1	Common Downregulated Genes
Mgst1	microsomal glutathione S-transferase 1	-3.3	-2.7	Common Downregulated Genes
