Common name	Affy ID	P-value
ALDH4A1	203722_at	0.000996
ED1	211128_at	0.000989
	213931_at	0.000988
FN1	216442_x_at	0.000988
BDKRB1	207510_at	0.000986
RNF41	201962_s_at	0.000969
UGT8	208358_s_at	0.000963
		0.000943
GPR34		0.000942
FN1	211719_x_at	0.000908
C6orf74	203259_s_at	0.000907
PPP1R12A	201604_s_at	0.000901
NMT2	215069_at	0.000894
RPL13	208929_x_at	0.000893
FLJ13611	218674_at	0.000891
ZNF84	204453_at	0.000868
MCL1	200797_s_at	0.000849
RAB27A	209514_s_at	0.000825
HHL	213982_s_at	0.000823
BTG2	201236_s_at	0.000811
PRKAR2B	203680_at	0.000804
MGC5242	220949_s_at	0.000803
KIAA0284	213242_x_at	0.000774
LTB4R	216388_s_at	0.000761
RPS14	208646_at	0.000756
		0.000753
COL15A1	203477_at	0.000732
		0.000729
RGNEF	219610_at	0.000707
SOD2	215078_at	0.000699
C9orf61	213900_at	0.000657
SDC2	212158_at	0.000651
BAIAP2	209502_s_at	0.00064
MT1H	211456_x_at	0.000585
REPS2	205645_at	0.000579
FMO1	205666_at	0.000575
RPL39L	210115_at	0.00056
SGSH	204293_at	0.000531
CIAPIN1	208968_s_at	0.00053
FN1	212464_s_at	0.000497
SGSH	35626_at	0.000487
CDH11	207173_x_at	0.000476
FRAT2	209864_at	0.000468
C13orf22	204190_at	0.000462
TNNI3K	220415_at	0.000458
DST	215016_x_at	0.000457
TRIM33	214815_at	0.000454
		0.000386
PARP2	204752_x_at	0.000377
DCXR	217973_at	0.000367
NR4A3	209959_at	0.000363
TOP3A	214299_at	0.000359
		0.000356
EIF3S9	203462_x_at	0.000311
DBP	209783_at	0.000262
DBI	209389_x_at	0.000239
	215377_at	0.000227
ITGB5	214021_x_at	0.000227
HGD	214307_at	0.000223
JUND	203752_s_at	0.000207
GSTT1	203815_at	0.000204
	217544_at	0.000187
BPAG1	212254_s_at	0.000168
	221419_s_at	0.000157
FLJ22175	221800_s_at	0.000151
MGC21654	214061_at	0.00015
FBXO11	203255_at	0.000131
LILRB3	210784_x_at	0.000124
PECAM1	208982_at	0.000121
PRP19	203103_s_at	7.49E-05
SLC4A1AP	218682_s_at	6.57E-05
CDC14B; CDC14B3	211347_at	5.78E-05
GADD45G	204121_at	4.89E-05
RPLP2	200909_s_at	2.77E-05
MYST1	214885_at	2.52E-05
DZIP1	204556_s_at	1.35E-05
	221844_x_at	9.43E-06
TOMM7	201812_s_at	7.05E-06
AP2A2	215764_x_at	5.58E-06
