Gene	RefSeq ID	Fold change	Status
HSDI7BI	NM_000413	1.5	Up-regulated genes
HSDI7B3	NM_000197	1.5	Up-regulated genes
CYP11B2	NM_000498	1.5	Up-regulated genes
AR	NM_000044	2	Up-regulated genes
CCND1	NM_053056	1.5	Up-regulated genes
ERBB2	NM_004448	2	Up-regulated genes
VCAM1	NM_001078	1.6	Up-regulated genes
SOS1	NM_005633	1.5	Up-regulated genes
PSA	NM_001648	-2	Down-regulated genes
KLK2	NM_005551	-1.8	Down-regulated genes
DHCR24	NM_014762	-1.5	Down-regulated genes
