Genes	Relative expression (OD): PCa	Relative expression (OD): BPH
SRD5A2	3.43	2.9
AR	5.85	5.46
CEACAM1	4.09	4.45
CEACAM-1 splicing	2.3	1.01
PCA3	3.17	1.76
KLK2	0.25	0.12
NOS3	2.67	0.33
OPHN1	2.33	4.64
TP53	0.24	0.09
KLK3	1.27	0.81
FOLH1	1.87	4.73
EEF1A1;EEF1A1	0.32	0.02
EEF1A1;EEF1A2	0.13	0.04
TGM4	0.22	0.04
PPBP	0.15	0.05
VDR	2.33	1.76
