Gene name	Gene symbol	Gene ID	UniGene ID	LVW	NS	NS-NIA	BM-HPC
Epidermal growth factor receptor	Egfr	13649	Mm.8534	nd	4	17	nd
Fibroblast growth factor receptor 1	Fgfr1	14182	Mm.265716	2	6	nd	nd
Fibroblast growth factor receptor 3	Fgfr3	14184	Mm.6904	2	8	1	nd
Forkhead box G1	Foxg1	15228	Mm.4704	4	1	nd	nd
Forkhead box J1	Foxj1	15223	Mm.4985	2	3	nd	nd
Forkhead box J3	Foxj3	230700	Mm.259227	1	1	nd	nd
Kit ligand	Kitl	17311	Mm.45124	nd	3	4	nd
Lunatic fringe gene homolog (Drosophila)	Lfng	16848	Mm.12834	nd	17	nd	nd
Musashi homolog 1 (Drosophila)	Msi1h	17690	Mm.5077	nd	6	nd	nd
Musashi homolog 2 (Drosophila)	Msi2h	76626	Mm.167586	2		3	nd
Nestin	Nes	18008	Mm.331129	2	22	nd	nd
Notch gene homolog 1 (Drosophila)	Notch1	18128	Mm.290610	nd	5	nd	nd
Notch gene homolog 2 (Drosophila)	Notch2	18129	Mm.254017	nd	1	nd	nd
Notch gene homolog 3 (Drosophila)	Notch3	18131	Mm.4945	nd	2	nd	nd
Numb gene homolog (Drosophila)	Numb	18222	Mm.4390	2	2	nd	nd
Paired box gene 6	Pax6	18508	Mm.3608	nd	2	nd	nd
Prominin 1	Prom1	19126	Mm.6250	nd	1	nd	nd
Recombining binding protein suppressor of hairless (Drosophila)	Rbpsuh	19664	Mm.209292	nd	1	nd	nd
SRY-box containing gene 1	Sox1	20664	Mm.39088	1	2	nd	nd
SRY-box containing gene 2	Sox2	20674	Mm.4541	nd	1	2	nd
SRY-box containing gene 3	Sox3	20675	Mm.35784	nd	7	nd	nd
SRY-box containing gene 6	Sox6	20679	Mm.377113	3	4	7	nd
SRY-box containing gene 8	Sox8	20681	Mm.258220	1	6	nd	nd
