Probe Sets	Gene Title	Gene Symbol
1431475_a_at	Homeobox A10	HoxA10
1427433_s_at	Homeobox A3	HoxA3
1448926_at	Homeobox A5	HoxA5
1452421_at	Homeobox A3	HoxA3
1455626_at	Homeobox A9	HoxA9
1421579_at	Homeobox A9	HoxA9
1427454_at	Homeobox C6	HoxC6
1418879_at	RIKEN cDNA 9030611O19 gene	9030611O19Rik
1418895_at	src family–associated phosphoprotein 2	Scap2
1419700_a_at	Prominin 1	Prom1
1449252_at	RIKEN cDNA 9030611O19 gene	9030611O19Rik
1450209_at	Homeobox D4	HoxD4
