Probe ID	Gene Symbol
Z11697_at	CD83
X79200_at	SSX2
X78687_at	G9
X65463_at	RXRB
X17093_at	HLA-F; HLAF;HLA-5,4;HLA-CDA12
U97502_ma1_at	BT3.3
U90913_at	TIP-1
U90546_r_at	BTF4
U90546_at	BTF4
U52101_at	YMP
U21858_at	TAF9
U14603_at	HU-PP-1
U02493_at	NONO
U01923_at	HNRPH2
S74728_at	antiquitin
M97936_at	STAT1;ISGF-3;STAT91
M90656_at	GCS
M65066_at	PRKAR1B
M37400_at	GOT1
M29877_at	FUCA1
M26041_s_at	HLA-DQA1
M16342_at	SNRPC
L43964_at	STM-2
L222524_s_at	MMP7;MMP-7;MPSL1;PUMP-1
L07033_at	HMGCL
K01160_s_at	HLA-DQA1
J04080_at	C1S
HG658-HT658_f_at
HG2917-HT3061_f_at
HG2915-HT3059_f_at
D66959_at	KIAA0204
D55696_at	LGMN
D49824_s_at	HLA-B
D32129_f_at	HLA-A
