Accession no.	Description	Gene	Fold change	Chromosomal region
NM_000927	ATP-binding cassette, sub-family B, member 1	ABCB1	1,092.10	7q21.12
NM_000443	ATP-binding cassette, sub-family A, member 5	ABCA5	10.2	17q24.3
NM_018672	ATP-binding cassette, sub-family A, member 8	ABCA8	4	17q24.2
NM_007168	ATP-binding cassette, sub-family A, member 6	ABCA6	2.5	17q24.2
NM_080284	ATP-binding cassette, sub-family B, member 2	ABCB2	1.8	6p21.32
NM_000593	ATP-binding cassette, sub-family G, member 2	ABCG2	1.6	4q22.1
NM_004827	ATP-binding cassette, sub-family C, member 1	ABCC1	1.4	16p13.11
NM_004996	ATP-binding cassette, sub-family B, member 4	ABCB4	1.3	7q21.12
NM_000443	ATP-binding cassette, sub-family C, member 4	ABCC4	1.3	13q32.1
NM_005845	ATP-binding cassette, sub-family C, member 5	ABCC5	1.3	3q27.1
