Symbol	Name	Fold	Category
Pla1a	phospholipase A1 member A	-1.5	WT Unique
Nkx1-2	NK1 transcription factor related. locus 2 (Drosophila)	-1.5	WT Unique
Anks1b	ankyrin repeat and sterile alpha motif domain containing 1B	-1.5	WT Unique
Dhrs8	dehydrogenase/reductase (SDR family) member 8	-1.5	WT Unique
Eno3	enolase 3, beta muscle	-1.5	WT Unique
Tpte2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	-1.5	WT Unique
Tph2	tryptophan hydroxylase 2	-1.5	WT Unique
Gsdmdc1	gasdermin domain containing 1	-1.5	WT Unique
Thoc1	THO complex 1	1.6	WT Unique
Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1	1.6	WT Unique
Anxa11	annexin A11	1.6	WT Unique
Aldoc	aldolase 3, C isoform	1.6	WT Unique
Ptgs1	prostaglandin-endoperoxide synthase 1	1.6	WT Unique
Khdrbs3	KH domain containing. RNA binding, signal transduction associated 3	-1.7	WT Unique
Tmem40	transmembrane protein 40	-1.7	WT Unique
Mylk	myosin, light polypeptide kinase	-1.7	WT Unique
Arhgap24	Rho GTPase activating protein 24	-1.7	WT Unique
Tgtp	T-cell specific GTPase	-1.7	WT Unique
Fgf13	fibroblast growth factor 13	-1.8	WT Unique
Ctnnd2	catenin (cadherin associated protein). delta 2	-1.9	WT Unique
Wdr40b	WD repeat domain 40B	-2.1	WT Unique
Gvin1	GTPase, very large interferon inducible 1	-2.3	WT Unique
Mal	myelin and lymphocyte protein. T-cell differentiation protein	-2.4	WT Unique
Aqp1	aquaporin 1	-3	WT Unique
Slpi	secretory leukocyte peptidase inhibitor	-1.5	P132L Unique
Ddr2	discoidin domain receptor family, member 2	-1.5	P132L Unique
Ifi27	interferon, alpha-inducible protein 27	-1.5	P132L Unique
Rtn1	reticulon 1	-1.5	P132L Unique
Gsta4	glutathione S-transferase, alpha 4	-1.5	P132L Unique
Lcn2	lipocalin 2	-1.5	P132L Unique
Col9a1	procollagen, type IX, alpha 1	-1.5	P132L Unique
Akp2	alkaline phosphatase 2, liver	-1.6	P132L Unique
Tcfap2c	transcription factor AP-2, gamma	-1.6	P132L Unique
Plekhb1	pleckstrin homology domain containing, family B (evectins) member 1	-1.6	P132L Unique
Mybpc2	myosin binding protein C. fast-type	-1.6	P132L Unique
Chi3l1	chitinase 3-like 1	-1.6	P132L Unique
Car6	carbonic anhydrase 6	-1.6	P132L Unique
Eva1	epithelial V-like antigen 1	-1.6	P132L Unique
Stard8	START domain containing 8	-1.7	P132L Unique
Clca2	chloride channel calcium activated 2	-1.7	P132L Unique
Mmp19	matrix metallopeptidase 19	-1.7	P132L Unique
Lbp	lipopolysaccharide binding protein	-1.7	P132L Unique
Tnnc1	troponin C, cardiac/slow skeletal	-1.7	P132L Unique
