Gene product	Accession number	Microarray ratio	Northern ratio
Cytoplasmic phosphotyrosyl protein phosphatase	M83654	3.7	2.7
Uridine diphosphoglucose pyrophosphorylase	U27460	5.4	2.2
Putative progesterone-binding protein	Y12711	7.9	3
Sterol 27-hydroxylase	M62401	31.1	2.8
Methylenetetrahydrofolate dehydrogenase	J04031	6.3	3.5
Dihydrodiol dehydrogenase	U05598	142.3	42
Vimentin	Z19554	0.23	0.17
Vimentin 3	M25246	0.13	0.19
Human GDP-dissociation inhibitor protein	L20688	0.17	0.18
Homo sapiens palmitoyl-protein thioesterase	L42809	0.2	0.23
