Clone ID	Symbol	Position
230191	ESTs	10q26
66676	SVIL	10p11
137981	ESTs	4q13
108177	P85SPR	13q34
323917	EHD1	11q13
295386	ESTs	12q12
196837	EP300	22q13
244781	ESTs	10q25
197343	ESTs	-
266318	MLLT4	6q27
201519	CEPT1	1p13
66474	FLJ21213	7q21
66423	ESTs	Xp11
841691	METAP2	12q22
233347	NAP1L1	12q21
203772	ESTs	12p12
294512	ESTs	7q34
111549	SFRS11	1p31
135853	ESTs	4q13
294311	ESTs	1p36
127610	DD5	8q22
209683	ESTs	-
139656	ESTs	6q15
196522	ESTs	12q12
127860	TRN2	19p13
120297	ESTs	10p15
194061	CASP8AP2	6q15
296498	FTCD	21q22
270136	DLEU2	13q14
292424	BANP	16q24
110703	OCIA	4p11
111004	ESTs	-
243603	ESTs	-
308588	FKBP8	19p13
179419	EVI5	1p22
194297	AIBP63	11p15
130120	NSAP1	6q14
120695	TOM	20q13
