Gene Symbol	Gene Name	RefSeq DNA ID	Description
KI67	Ki-67	NM_002417	Proliferation
STK15	STK15	NM_003600	Proliferation
Survivin	SURV	NM_001168	Proliferation
CCNB1	CCNB1	NM_031966	Proliferation
MYBL2	MYBL2	NM_002466	Proliferation
MMP11	STMY3	NM_005940	Invasion
CTSL2	CTSL2	NM_001333	Invasion
GRB7	GRB7	NM_005310	HER2
HER2	HER2	NM_004448	HER2
ER	EstR1	NM_000125	Estrogen
PGR	PR	NM_000926	Estrogen
BCL2	Bcl2	NM_000633	Estrogen
SCUBE2	CEGP1	NM_020974	Estrogen
GSTM1	GSTM1	NM_000561	No category
BAG1	BAG1	NM_004323	No category
CD68	CD68	NM_001251	No category
ACTB	B-actin	NM_001101	reference gene, the gene encoding beta-actin
GAPDH	GAPDH	NM_002046	reference gene
RPLP0	RPLPO	NM_001002	reference gene
GUS	GUS	NM_000181	reference gene
TFRC	TFRC	NM_003234	reference gene
