HUGO Name	GB. Accession	Cases
PDE6H	NM_006206	22
MS4A1	NM_021950	21
C7	NM_000587	21
AF343666	20
LTB	NM_002341	18
SELL	NM_000655	18
RGS1	NM_002922	18
FREB	NM_032738	17
BIRC3	AF070674	17
TRB@	X00437	17
TNFAIP3	NM_006290	17
DUSP2	NM_004418	16
ZFP36L2	U07802	15
HBB	NM_000518	15
TCL1A	NM_021966	15
KLF2	NM_016270	15
EBI2	NM_004951	15
KRT15	NM_002275	15
CCL19	NM_006274	15
NEFL	NM_006158	14
PIGR	AK026320	14
