Systematic	0h	6h	12h	24h	Common	Genbank
225626_at	1.105	1.126	1.380	1.957	PAG	AK000680
224159_x_at	0.887	1.053	2.789	1.439	TRIM4	AF220023
224237_at	1.058	1.118	0.417	0.988		AF119880
224022_x_at	0.931	0.995	0.992	1.120	WNT16	AF169963
224634_at	0.987	0.903	0.678	0.460	FLJ20249	AI911518
224632_at	0.976	0.875	0.658	0.482	FLJ20249	BE794289
224567_x_at	0.859	0.478	0.571	0.690	MALAT-1	BG534952
227361_at	1.274	1.307	1.170	2.329	HS3ST3B1	AA780067
227301_at	0.844	0.773	0.480	0.560	CCT6A	BE644816
227082_at	0.778	0.408	0.394	0.443	LOC158863	AI760356
225962_at	0.797	0.526	0.433	0.454	ZNRF1	AI199541
225912_at	1.055	1.540	1.623	2.032	TP53INP1	AW341649
225833_at	0.823	0.688	0.451	0.600	LOC221955	BE795104
226158_at	1.080	1.378	2.036	2.507	LOC339924	AL120021
226252_at	0.863	0.440	0.538	0.554		AA058578
219691_at	1.282	1.325	1.262	1.789	FLJ20073	NM_017654
219800_s_at	0.902	0.489	0.559	0.537	THNSL1	NM_024838
220728_at	0.883	0.565	0.516	0.438		NM_025120
220702_at	0.891	0.861	0.469	0.746		NM_018616
220710_at	0.913	0.888	0.474	0.755	FLJ11722	NM_024970
220467_at	0.989	0.698	0.397	0.543	FLJ21272	NM_025032
220474_at	0.989	1.055	1.075	0.469	SLC25A21	NM_030631
220855_at	1.059	0.875	0.476	0.712	CLTC	NM_014127
220232_at	0.959	1.168	3.787	1.692	SCD4	NM_024906
218762_at	0.936	0.488	0.645	0.532	ZNF574	NM_022752
219047_s_at	1.071	0.831	0.658	0.464	FLJ13479	NM_024706
223254_s_at	1.031	0.446	0.580	0.477	KIAA1333	AA887053
223261_at	1.017	0.392	0.867	0.713	POLK	AF194973
223036_at	0.963	0.643	0.448	0.592	FARSLB	D84430
223168_at	1.048	1.099	1.268	2.342	RHOU	AL096776
221683_s_at	0.970	0.421	0.852	0.625	FLJ13615	AF317887
222282_at	0.983	0.882	0.473	0.627		AV761453
222270_at	0.775	0.697	0.683	0.452	KIAA1387	BG540048
222439_s_at	0.897	0.526	0.510	0.323	THRAP3	BE967048
222320_at	0.902	0.583	0.433	0.598		AW970584
222316_at	0.868	0.705	0.451	0.698	VDP	AW973253
222311_s_at	1.002	0.828	0.495	0.719	SFRS15	AA648521
222366_at	1.014	0.685	0.491	0.637	IGHG1	W86781
222375_at	1.039	0.867	0.409	0.663	LBH	AW970944
221841_s_at	1.276	1.165	1.305	1.818	KLF4	BF514079
222040_at	1.034	0.844	0.482	0.563	HNRPA1	AI144007
222108_at	0.946	1.722	2.333	2.220	AMIGO2	AC_004010
222016_s_at	0.963	0.746	0.550	0.455	ZNF323	AW086021
238744_at	1.004	0.834	0.441	0.556	ATPBD4	AI380529
238787_at	0.836	0.448	0.714	0.748	C9orf126	AA988769
238803_at	0.817	0.569	0.435	0.414	HECTD2	AA633619
238774_at	0.871	0.768	0.379	0.515	CRSP2	AW960454
239040_at	0.922	0.549	0.389	0.351	HNRPD	AW967813
238982_at	0.934	0.653	0.479	0.551	DENR	AW665791
238417_at	1.010	0.957	1.590	2.237	PGM2L1	BE138757
238619_at	1.062	0.849	0.406	0.583	FLJ43663	AA417078
238558_at	0.995	0.733	0.478	0.607	MBNL1	AI445833
238542_at	1.028	1.564	1.571	1.813	ULBP2	AA831769
238593_at	1.036	1.337	1.111	1.998	FLJ22531	AW962511
239937_at	0.926	0.721	0.410	0.829	ZNF207	AI860558
239957_at	0.982	0.656	0.431	0.741	SETD5	AW510793
239946_at	0.876	0.912	0.433	0.747	KIAA0922	AA776723
239948_at	1.026	0.664	0.472	0.488	NUP153	AA004800
240062_at	0.592	0.390	0.487	0.489	FAM3C	AW241945
