Genes	Mean expression	Expression range	P
FKBP51	5.8	2.7–10.6	0.006
GW112	3.7	2.0–5.7	0.006
MAO-1	3.6	2.5–5.1	0.003
PER1	2.7	2.2–3.0	0.007
SGK1	2.5	1.9–3.4	0.004
11-B-DH2	2.5	1.9–3.0	0.001
HUMGT198A	0.4	0.4–0.4	0.01
ENC1	0.5	0.3–0.8	0.01
B7-H4	0.5	0.3–0.8	0.01
UGT1A10	0.5	0.4–0.6	0.001
STAC	0.5	0.5–0.6	0.001
BAMB1	0.5	0.4–0.6	0.002
PPAP2B	0.5	0.4–0.7	0.003
