PAM_15_probes	Gene Symbol	Description
239296_at	ZEB2	PAM probes
229067_at	SRGAP2P1	PAM probes
232591_s_at	TMEM30A	PAM probes
205996_s_at	AK2	PAM probes
204427_s_at	TMED2	PAM probes
210148_at	HIPK3	PAM probes
1555830_s_at	FAM62B	PAM probes
204069_at	MEIS1	PAM probes
1559477_s_at	MEIS1	PAM probes
39318_at	TCL1A	PAM probes
227646_at	EBF1	PAM probes
221969_at	PAX5	PAM probes
215925_s_at	CD72	PAM probes
239214_at	LOC100130458	PAM probes
207030_s_at	CSRP2	PAM probes
