Probeset	Gene	Accessionno.	Description	Foldchange
1429977_at	9030425L15Rik	BG797916	EST	5.35
1455177_at	D10Bwg0629e	BQ175532	Abelson helper integration site	5.70
1449876_at	Prkg1	NM_011160	Protein kinase, cyclic guanosine monophosphate (cGMP)-dependent, type I	6.27
1428942_at	Mt2	AA796766	Metallothionein 2	6.55
1452163_at	Ets1	BB151715	E26 avian leukemia oncogene 1, 5 domain	6.62
1433933_s_at	AI060904	BB553107	Solute carrier organic anion transporter	7.96
1452318_a_at	Hsp70-1	M12573	Heat shock protein 1A	9.85
1447927_at	AI595338	BG092512	EST	10.16
1427127_x_at	hsp68	M12573	Heat shock protein 1A	12.32
1427126_at	hsp68	M12573	Heat shock protein 1A	15.85
