Gene	Parametric p-value	Geometric mean expression of Non-NPM mutant when N=80	Geometric mean expression of NPM mutant when N=35
HOXA11	< 1e-07	0.0616	2.5923
HOXB6	< 1e-07	0.2140	14.8291
HOXB9	< 1e-07	0.0170	1.0717
HOXB5	< 1e-07	0.5560	11.5852
HOXB3	< 1e-07	1.0897	19.2576
HOXA5	< 1e-07	0.4391	12.6288
HOXA3	< 1e-07	0.9433	25.9034
HOXB4	< 1e-07	1.1530	17.3662
HOXB8	< 1e-07	0.0155	0.6886
HOXA4	< 1e-07	0.6139	13.6631
HOXA7	< 1e-07	0.3145	10.8383
HOXB2	< 1e-07	4.1288	46.9180
HOXA2	1.00E-07	0.5755	4.2128
HOXA10	1.00E-07	1.8974	26.5500
HOXA13	2.00E-07	0.0075	0.0818
PBX3	3.00E-07	3.4775	15.2641
HOXA9	7.00E-06	0.9609	14.7004
MEIS1	2.05E-05	8.2208	84.3774
HOXA1	0.00062	0.1877	0.6271
HOXD13	0.0011885	0.0045	0.0027
HOXD3	0.0012881	0.0040	0.0024
