Gene	Accessionno.	int
MMP-3	X05232	16.1
FN1	M10905	15.4
RPL13A	X56932	14.7
SPP1	NM_000582	14.4
TIMP1	X03124	12.2
FMOD	NM_002023	11.0
COMP	NM_000095	9.7
AGC1	NM_001135	9.2
CHI3L2	NM_004000	7.8
ATF4	M86842	7.1
RPS9	U14971	6.7
SERPINA1	NM_000295	6.6
TGFB1	NM_000660	6.0
UBC	M26880	5.5
MMP-1	X05231	4.6
ADAM17	NM_021832	4.3
ADAMTS-4	NM_005099	4.0
SERPINE1	M16006	3.6
COL6A1	X15880	3.1
COL2A1	X16468	2.8
