Case no.	Symbol	Accession†	Title	Chromosomal Location	TE4:TE2‡
1	EST	R99977	Unknown	Unknown	6.65
2	ST3GALVI	N91882	Alpha2,3-sialyltransferase	3q12.1	4.67
3	BDNF	W48869	Brain-derived neurotrophic factor	11p13	2.8
4	CSK	N77814	c-Src tyrosine kinase	15q23-q25	2.31
5	EPN	AA203237	Membrane metallo-endopeptidase	3q25.1-q25.2	2.24
6	EST	H79873	Unknown	Unknown	2.22
7	EST	W31642	Unknown	Unknown	2.14
8	JAK-1	H18190	Janus kinase 1	1p32.3-p31.3	2.07
9	KMO	N29353	Kynurenine 3-monooxygenase	1q42-q44	2.01
10	HJTB	AA203110	Jumping translocation breakpoint	1q21	2.01
