Affymetrix Probe ID	HGNC Gene Symbol	Description of Subset
205225_at	ESR1	ER/PR
208305_at	PGR	ER/PR
210761_s_at	GRB7	Intrinsic gene list
216836_s_at	ERBB2	Intrinsic gene list
209603_at	GATA3	Intrinsic gene list
222077_s_at	RACGAP1	Grade
209773_s_at	RRM2	Grade
204641_at	NEK2	Grade
202240_at	PLK1	Grade
205024_s_at	RAD51	Grade
204962_s_at	CENPA	Grade
203755_at	BUB1B	Grade
