PROBESET	GENE SYMBOL	BIOLOGICAL DESCRIPTION
200964_at	UBE1	DNA replication /// ubiquitin cycle
209923_s_at	BRAP	negative regulation of signal transduction /// protein ubiquitination
202824_s_at	TCEB1	regulation of transcription from Pol II promoter /// ubiquitin cycle
204190_at	C13orf22	ubiquitin-dependent protein catabolism
222142_at	CYLD	ubiquitin-dependent protein catabolism /// ubiquitin cycle /// negative regulation of cell cycle
208786_s_at	MAP1LC3B	ubiquitin cycle /// autophagy
218247_s_at	RKHD2	protein ubiquitination
218246_at	FLJ12875	protein ubiquitination /// positive regulation of I-kappaB kinase/NF-kappaB cascade
