HELP identifier	Gene symbol
MSPI0406S00001754	PRKCZ
MSPI0406S00004298	DFFB
MSPI0406S00009802	KIF1B
MSPI0406S00010133	CASZ1
MSPI0406S00011246	FBXO6
MSPI0406S00014166	PLEKHM2
MSPI0406S00014725	EPHA2
MSPI0406S00016478	IGSF21
MSPI0406S00018931	ALPL
MSPI0406S00020561	TCEA3
MSPI0406S00023223	PIGV
MSPI0406S00027418	LCK
MSPI0406S00027476	MARCKSL1
MSPI0406S00027575
MSPI0406S00027576
MSPI0406S00029671	C1orf78
MSPI0406S00030166	GRIK3
MSPI0406S00036656	DMRTA2
MSPI0406S00037660
MSPI0406S00040254	HOOK1
MSPI0406S00040818	L1TD1
MSPI0406S00042310	GNG12
MSPI0406S00043750	PTGFR
MSPI0406S00044694	CYR61
MSPI0406S00045648	BARHL2
MSPI0406S00050795	PHTF1
MSPI0406S00051436	C1orf161
MSPI0406S00056947	CHRNB2
MSPI0406S00058661	C1orf61
MSPI0406S00059731	FCRL6
MSPI0406S00059880	KCNJ9
MSPI0406S00060630	FCGR2C
MSPI0406S00062606	PRRX1
MSPI0406S00062607	PRRX1
MSPI0406S00064623	C1orf76
MSPI0406S00064718	CEP350
MSPI0406S00065303	CACNA1E
MSPI0406S00066944	FAM5C
MSPI0406S00074686	ESRRG
MSPI0406S00078012	CDC42BPA
MSPI0406S00078800	HIST3H2A
MSPI0406S00079297	ACTA1
MSPI0406S00080109	TRIM67
MSPI0406S00082225	NID1
MSPI0406S00082604	ACTN2
MSPI0406S00086625	OR2W5
MSPI0406S00094930	FAM84A
MSPI0406S00095807	KCNS3
MSPI0406S00096654	C2orf43
MSPI0406S00096724	APOB
MSPI0406S00099129	C2orf39
MSPI0406S00100034	FNDC4
MSPI0406S00100667	SPDYA
MSPI0406S00104557	COX7A2L
MSPI0406S00106928	KCNK12
MSPI0406S00108618	EFEMP1
MSPI0406S00108671	CCDC85A
MSPI0406S00108816	VRK2
MSPI0406S00111733	PLEK
MSPI0406S00111734	PLEK
MSPI0406S00113402	CYP26B1
MSPI0406S00115080	CTNNA2
MSPI0406S00117782	NTN2L
MSPI0406S00123406	ST6GAL2
MSPI0406S00125443	ANAPC1
MSPI0406S00129816
MSPI0406S00132954	LYPD1
MSPI0406S00134288	NXPH2
MSPI0406S00137135	LOC130940
MSPI0406S00138929
MSPI0406S00140080	ZAK
MSPI0406S00140965	HOXD9
MSPI0406S00141029	HOXD1
MSPI0406S00141030	HOXD1
MSPI0406S00141266	AGPS
MSPI0406S00141405	OSBPL6
MSPI0406S00141848	NEUROD1
MSPI0406S00142164	ZNF804A
MSPI0406S00142560	GULP1
MSPI0406S00143267	TMEFF2
MSPI0406S00144320	SATB2
MSPI0406S00144321	SATB2
MSPI0406S00146687	GPR1
MSPI0406S00146730	ZDBF2
MSPI0406S00154689
MSPI0406S00156323	CENTG2
MSPI0406S00157102	IQCA
MSPI0406S00164306	LHFPL4
MSPI0406S00164512	TADA3L
MSPI0406S00169952	TOP2B
MSPI0406S00170438	C3orf53
MSPI0406S00173842	CCK
MSPI0406S00175202	XCR1
MSPI0406S00176134	CSPG5
MSPI0406S00176973	CELSR3
MSPI0406S00176974	CELSR3
MSPI0406S00178497	HYAL3
MSPI0406S00179331	GPR62
MSPI0406S00183276	FEZF2
MSPI0406S00183277	FEZF2
MSPI0406S00183374	CADPS
MSPI0406S00183754	ADAMTS9
MSPI0406S00184084	MAGI1
MSPI0406S00184665	TMF1
MSPI0406S00186172	PDZRN3
MSPI0406S00188082	EPHA3
MSPI0406S00188741	ST3GAL6
MSPI0406S00198942	FAM62C
MSPI0406S00198943	FAM62C
MSPI0406S00199215	FOXL2
MSPI0406S00199827	RASA2
MSPI0406S00200908	ZIC4
MSPI0406S00200909	ZIC4
MSPI0406S00201276	WWTR1
MSPI0406S00201344	PFN2
MSPI0406S00202963	MLF1
MSPI0406S00205138	FNDC3B
MSPI0406S00205236	GHSR
MSPI0406S00205237	GHSR
MSPI0406S00210642	LEPREL1
MSPI0406S00210700	CLDN1
MSPI0406S00211204	HRASLS
MSPI0406S00213866	MFI2
MSPI0406S00218746	OTOP1
MSPI0406S00221627	AFAP1
MSPI0406S00224622	KIAA1276
MSPI0406S00228209	TLR1
MSPI0406S00231030	SPATA18
MSPI0406S00231857	NMU
MSPI0406S00233292	EPHA5
MSPI0406S00233293	EPHA5
MSPI0406S00233294	EPHA5
MSPI0406S00235147
MSPI0406S00235682	FGF5
MSPI0406S00235744	BMP3
MSPI0406S00236631	CDS1
MSPI0406S00236929	PTPN13
MSPI0406S00236930	PTPN13
MSPI0406S00237718
MSPI0406S00238038	ATOH1
MSPI0406S00240240	NOLA1
MSPI0406S00240343	ELOVL6
MSPI0406S00240476	PITX2
MSPI0406S00241932	C4orf31
MSPI0406S00241985	GPR103
MSPI0406S00242041	TMEM155
MSPI0406S00242796	INTU
MSPI0406S00242828	HSPA4L
MSPI0406S00245844	POU4F2
MSPI0406S00245845	POU4F2
MSPI0406S00247613	LRAT
MSPI0406S00247614	LRAT
MSPI0406S00247926	PDGFC
MSPI0406S00249270	TLL1
MSPI0406S00250510	HAND2
MSPI0406S00250511	HAND2
MSPI0406S00253736	PDLIM3
MSPI0406S00254315	FAT
MSPI0406S00255451	HMX1
MSPI0406S00257874	IRX4
MSPI0406S00258559	CEI
MSPI0406S00258560	CEI
MSPI0406S00262490	FBXL7
MSPI0406S00266024	RXFP3
MSPI0406S00266052	C1QTNF3
MSPI0406S00266372	PRLR
MSPI0406S00267000	GDNF
MSPI0406S00267272	OSMR
MSPI0406S00268611	ISL1
MSPI0406S00268612	ISL1
MSPI0406S00271472	MAST4
MSPI0406S00271473	MAST4
MSPI0406S00271573	CD180
MSPI0406S00271740	PIK3R1
MSPI0406S00272175	OCLN
MSPI0406S00273357	TMEM171
MSPI0406S00273927	HMGCR
MSPI0406S00274804	LHFPL2
MSPI0406S00276457	COX7C
MSPI0406S00277663	RHOBTB3
MSPI0406S00278113	RGMB
MSPI0406S00279100	EFNA5
MSPI0406S00279693	EPB41L4A
MSPI0406S00280105	KCNN2
MSPI0406S00280233	TRIM36
MSPI0406S00280363	FLJ90650
MSPI0406S00280466	SEMA6A
MSPI0406S00281420	PRDM6
MSPI0406S00281421	PRDM6
MSPI0406S00282529	FBN2
MSPI0406S00282530	FBN2
MSPI0406S00282621	ADAMTS19
MSPI0406S00287324	PCDHB6
MSPI0406S00287361	PCDHB14
MSPI0406S00287460	PCDHGC5
MSPI0406S00288944	POU4F3
MSPI0406S00290439	NDST1
MSPI0406S00293402	C1QTNF2
MSPI0406S00293403	C1QTNF2
MSPI0406S00297985	MSX2
MSPI0406S00298213	DRD1
MSPI0406S00298966	PCLKC
MSPI0406S00300232	PROP1
MSPI0406S00301996
MSPI0406S00303987	FOXQ1
MSPI0406S00304798	LOC285771
MSPI0406S00307036	DSP
MSPI0406S00307061	C6orf151
MSPI0406S00307118	BMP6
MSPI0406S00309021	NOL7
MSPI0406S00312625	DCDC2
MSPI0406S00313668	HIST1H2BJ
MSPI0406S00313773	PRSS16
MSPI0406S00318913	PPARD
MSPI0406S00318914	PPARD
MSPI0406S00325106	C6orf141
MSPI0406S00328864	HTR1B
MSPI0406S00329603	ME1
MSPI0406S00329678	C6orf117
MSPI0406S00331431	EPHA7
MSPI0406S00331890	POU3F2
MSPI0406S00332081	PRDM13
MSPI0406S00332202	SIM1
MSPI0406S00332203	SIM1
MSPI0406S00332322	GRIK2
MSPI0406S00334363	GPR6
MSPI0406S00335376	MARCKS
MSPI0406S00336620	PKIB
MSPI0406S00336651	SMPDL3A
MSPI0406S00341030	GRM1
MSPI0406S00341031	GRM1
MSPI0406S00345101	SYNJ2
MSPI0406S00345336	TULP4
MSPI0406S00349171	GPR31
MSPI0406S00353568	MICALL2
MSPI0406S00358342	JTV1
MSPI0406S00359990	LOC730608
MSPI0406S00359991	LOC730608
MSPI0406S00360027
MSPI0406S00360272	ETV1
MSPI0406S00360458	MEOX2
MSPI0406S00360459	MEOX2
MSPI0406S00360967	FERD3L
MSPI0406S00361218	SP8
MSPI0406S00364869
MSPI0406S00367579	C7orf25
MSPI0406S00369057	ADCY1
MSPI0406S00370415	VWC2
MSPI0406S00379108	CLDN3
MSPI0406S00383289	HGF
MSPI0406S00383363	CACNA2D1
MSPI0406S00384032	ZNF804B
MSPI0406S00385365	TAC1
MSPI0406S00390317	SLC26A5
MSPI0406S00390392	RELN
MSPI0406S00392747	WNT2
MSPI0406S00392748	WNT2
MSPI0406S00393337	CADPS2
MSPI0406S00393526	GPR37
