Probe Set ID	Fold Change
41609_at	-1.271
36092_at	-1.269
36985_at	-1.269
32998_at	-1.253
37616_at	-1.25
34414_at	-1.248
1368_at	-1.23
39986_at	-1.2
33168_at	-1.188
35125_at	-1.186
34318_at	-1.172
31952_at	-1.171
41091_at	-1.168
35720_at	-1.159
40732_at	-1.142
35878_at	-1.139
37470_at	-1.131
778_s_at	-1.13
38802_at	-1.088
