Probe set identification	Gene title	Gene symbol
36681_at	Apolipoprotein D	APOD
41352_at	Sialyltransferase 1	SIAT1
37399_at	Aldo-keto reductase family 1, member C3	AKR1C3
1860_at	Tumor protein p53 binding protein, 2	TP53BP2
41395_at	Carbohydrate sulfotransferase 1	CHST1
37615_at	Growth factor receptor-bound protein 10	GRB10
40201_at	Dopa decarboxylase	DDC
32139_at	Zinc finger protein 185	ZNF185
1057_at	Cellular retinoic acid binding protein 2	CRABP2
34022_at	Chemokine (C-X-C motif) ligand 3	CXCL3
41446_f_at	Metallothionein 1F	MT1F
39757_at	Syndecan 2	SDC2
31623_f_at	Metallothionein 1A	MT1A
32818_at	Tenascin C	TNC
35366_at	Nidogen	NID
36455_at	Collagen, type IX, . 3	COL9A3
33187_r_at	Hypothetical protein LOC339005	LOC339005
33222_at	Frizzled homolog 7 (Drosophila)	FZD7
35717_at	ATP-binding cassette, subfamily A, member 8	ABCA8
33233_at	KIAA0117 protein	KIAA0117
