Probe Set ID	Gene Symbol
222423_at	NDFIP1
223095_at	MARVELD1
211682_x_at	UGT2B28
1555630_a_at	RAB34
201841_s_at	HSPB1 /// MEIS3
217800_s_at	NDFIP1
215772_x_at	SUCLG2
202252_at	RAB13
220974_x_at	SFXN3
217226_s_at	SFXN3
217853_at	TNS3
212459_x_at	SUCLG2
1553183_at	UMODL1
227423_at	LRRC28
1554300_a_at	LOC136306
200765_x_at	CTNNA1
227845_s_at	SHD
204039_at	CEBPA
224822_at	DLC1
